Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Electrical and Electronics Drafters (17-3012),530,24.8,$33.32 ,"$69,310 ",5.9,$22.73 ,$23.89 ,$31.36 ,$38.93 ,$50.65 ,"$47,280 ","$49,690 ","$65,220 ","$80,970 ","$105,340 ",0.166,1.28
Mechanical Drafters (17-3013),720,17.8,$35.98 ,"$74,830 ",4.2,$21.40 ,$28.99 ,$38.59 ,$38.59 ,$49.47 ,"$44,520 ","$60,300 ","$80,270 ","$80,270 ","$102,900 ",0.224,0.87
"Drafters, All Other (17-3019)",540,15.9,$30.53 ,"$63,500 ",3.9,$22.14 ,$24.60 ,$29.91 ,$34.86 ,$41.50 ,"$46,060 ","$51,170 ","$62,220 ","$72,520 ","$86,320 ",0.169,1.63
Aerospace Engineering and Operations Technologists and Technicians (17-3021),180,2.5,$32.94 ,"$68,510 ",1.8,$25.83 ,$25.83 ,$29.88 ,$40.86 ,$46.59 ,"$53,730 ","$53,730 ","$62,160 ","$84,990 ","$96,920 ",0.056,0.95
Civil Engineering Technologists and Technicians (17-3022),"1,340",14.8,$36.30 ,"$75,500 ",6.5,$22.11 ,$28.60 ,$33.56 ,$46.34 ,$57.45 ,"$45,980 ","$59,490 ","$69,800 ","$96,380 ","$119,500 ",0.418,1.04
Electrical and Electronic Engineering Technologists and Technicians (17-3023),"2,360",14.5,$37.16 ,"$77,290 ",4.1,$23.44 ,$29.28 ,$37.87 ,$43.34 ,$51.70 ,"$48,760 ","$60,900 ","$78,760 ","$90,140 ","$107,530 ",0.739,1.23
Electro-Mechanical and Mechatronics Technologists and Technicians (17-3024),150,13.4,$39.31 ,"$81,760 ",1.6,$32.50 ,$36.37 ,$37.67 ,$39.62 ,$49.47 ,"$67,600 ","$75,650 ","$78,360 ","$82,410 ","$102,890 ",0.046,0.49
Environmental Engineering Technologists and Technicians (17-3025),290,23.4,$34.00 ,"$70,720 ",5.7,$23.94 ,$26.40 ,$30.01 ,$42.24 ,$45.72 ,"$49,800 ","$54,920 ","$62,430 ","$87,870 ","$95,090 ",0.09,1.11
Industrial Engineering Technologists and Technicians (17-3026),"1,810",5.2,$33.84 ,"$70,400 ",1.1,$24.55 ,$28.27 ,$33.61 ,$38.13 ,$47.54 ,"$51,060 ","$58,810 ","$69,900 ","$79,300 ","$98,870 ",0.565,1.19
Mechanical Engineering Technologists and Technicians (17-3027),630,12.7,$35.13 ,"$73,070 ",3.4,$23.75 ,$28.09 ,$32.83 ,$39.56 ,$48.67 ,"$49,400 ","$58,430 ","$68,280 ","$82,270 ","$101,220 ",0.197,0.81
Calibration Technologists and Technicians (17-3028),440,9,$40.64 ,"$84,530 ",2.4,$30.05 ,$32.32 ,$39.85 ,$47.11 ,$58.38 ,"$62,500 ","$67,230 ","$82,890 ","$97,990 ","$121,430 ",0.137,1.37
"Engineering Technologists and Technicians, Except Drafters, All Other (17-3029)",(8) -,(8) -,$31.55 ,"$65,620 ",7.1,$20.89 ,$24.25 ,$30.56 ,$37.36 ,$44.18 ,"$43,460 ","$50,430 ","$63,570 ","$77,720 ","$91,890 ",(8) -,(8) -
Surveying and Mapping Technicians (17-3031),740,9.9,$28.22 ,"$58,690 ",2.2,$18.67 ,$21.89 ,$26.16 ,$34.62 ,$40.29 ,"$38,820 ","$45,530 ","$54,410 ","$72,000 ","$83,810 ",0.231,0.63
"Life, Physical, and Social Science Occupations (19-0000)","21,800",2.5,$39.46 ,"$82,070 ",1.4,$22.42 ,$27.67 ,$36.18 ,$48.06 ,$61.88 ,"$46,630 ","$57,540 ","$75,250 ","$99,970 ","$128,710 ",6.818,0.73
Soil and Plant Scientists (19-1013),340,28.6,$31.77 ,"$66,080 ",11.8,$18.29 ,$18.55 ,$25.40 ,$42.56 ,$54.43 ,"$38,050 ","$38,570 ","$52,830 ","$88,520 ","$113,200 ",0.106,0.98
Microbiologists (19-1022),90,39.2,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.027,0.21
Zoologists and Wildlife Biologists (19-1023),410,14.8,$35.50 ,"$73,840 ",5.1,$23.80 ,$26.76 ,$33.83 ,$41.42 ,$48.77 ,"$49,500 ","$55,660 ","$70,370 ","$86,150 ","$101,440 ",0.127,1.16
"Biological Scientists, All Other (19-1029)",620,5.6,$47.55 ,"$98,910 ",2,$25.14 ,$33.12 ,$42.60 ,$51.16 ,$80.91 ,"$52,290 ","$68,890 ","$88,610 ","$106,420 ","$168,300 ",0.195,0.5
Conservation Scientists (19-1031),360,9.4,$36.85 ,"$76,650 ",1.8,$21.15 ,$30.16 ,$36.59 ,$43.01 ,$52.76 ,"$44,000 ","$62,730 ","$76,100 ","$89,460 ","$109,750 ",0.114,0.69
Foresters (19-1032),70,3.5,$32.92 ,"$68,460 ",0.8,$23.56 ,$28.82 ,$31.71 ,$37.47 ,$42.60 ,"$49,000 ","$59,950 ","$65,960 ","$77,940 ","$88,610 ",0.022,0.35
Epidemiologists (19-1041),290,4.9,$32.93 ,"$68,490 ",0.6,$22.09 ,$28.34 ,$33.32 ,$37.59 ,$40.46 ,"$45,950 ","$58,950 ","$69,300 ","$78,180 ","$84,150 ",0.091,1.23
"Medical Scientists, Except Epidemiologists (19-1042)","1,220",15.6,$54.34 ,"$113,020 ",6.2,$31.60 ,$38.36 ,$49.16 ,$63.34 ,$82.00 ,"$65,740 ","$79,780 ","$102,250 ","$131,750 ","$170,560 ",0.381,0.38
"Life Scientists, All Other (19-1099)",130,21.4,$51.29 ,"$106,680 ",6.1,$25.93 ,$31.68 ,$49.74 ,$56.39 ,$89.04 ,"$53,940 ","$65,900 ","$103,460 ","$117,290 ","$185,200 ",0.041,0.86
Astronomers (19-2011),90,39.3,$63.46 ,"$131,990 ",1.7,$38.31 ,$49.84 ,$60.33 ,$79.15 ,$81.84 ,"$79,670 ","$103,680 ","$125,480 ","$164,630 ","$170,220 ",0.029,2.87
Physicists (19-2012),70,18.9,$90.68 ,"$188,610 ",1.8,$51.56 ,$67.35 ,$91.81 ,$106.23 ,(5) -,"$107,240 ","$140,090 ","$190,960 ","$220,950 ",(5) -,0.023,0.17
Atmospheric and Space Scientists (19-2021),100,5.9,$45.96 ,"$95,590 ",1.6,$29.34 ,$31.70 ,$37.02 ,$55.32 ,$65.79 ,"$61,030 ","$65,930 ","$77,000 ","$115,070 ","$136,840 ",0.032,0.57
Chemists (19-2031),870,13.3,$42.56 ,"$88,520 ",4.1,$25.56 ,$28.42 ,$38.14 ,$53.97 ,$61.27 ,"$53,160 ","$59,110 ","$79,330 ","$112,250 ","$127,440 ",0.272,0.5
"Environmental Scientists and Specialists, Including Health (19-2041)","1,590",9.4,$42.90 ,"$89,240 ",5.6,$24.75 ,$29.64 ,$37.92 ,$51.60 ,$69.45 ,"$51,480 ","$61,660 ","$78,870 ","$107,320 ","$144,450 ",0.497,0.9
"Geoscientists, Except Hydrologists and Geographers (19-2042)",510,22.2,$43.22 ,"$89,900 ",3.3,$28.41 ,$31.22 ,$40.21 ,$49.88 ,$64.49 ,"$59,090 ","$64,940 ","$83,630 ","$103,750 ","$134,130 ",0.159,1.09
Hydrologists (19-2043),320,21.3,$39.78 ,"$82,740 ",1.4,$28.82 ,$30.64 ,$36.74 ,$46.46 ,$54.08 ,"$59,950 ","$63,730 ","$76,420 ","$96,630 ","$112,490 ",0.099,2.67
"Physical Scientists, All Other (19-2099)",170,14.7,$57.26 ,"$119,110 ",3.2,$37.20 ,$48.25 ,$57.65 ,$68.62 ,$75.40 ,"$77,380 ","$100,350 ","$119,920 ","$142,740 ","$156,840 ",0.054,0.37
Economists (19-3011),(8) -,(8) -,$47.48 ,"$98,750 ",6.9,$31.25 ,$36.24 ,$46.34 ,$57.59 ,$61.31 ,"$65,000 ","$75,380 ","$96,390 ","$119,790 ","$127,520 ",(8) -,(8) -
Survey Researchers (19-3022),(8) -,(8) -,$27.67 ,"$57,550 ",10.1,$23.34 ,$25.10 ,$28.11 ,$28.13 ,$30.01 ,"$48,550 ","$52,210 ","$58,460 ","$58,510 ","$62,420 ",(8) -,(8) -
Clinical and Counseling Psychologists (19-3033),"1,140",27.4,$53.72 ,"$111,730 ",7.7,$27.89 ,$30.07 ,$51.43 ,$66.58 ,$81.18 ,"$58,010 ","$62,550 ","$106,970 ","$138,480 ","$168,850 ",0.355,0.76
School Psychologists (19-3034),"1,050",3.6,$40.73 ,"$84,710 ",1,$30.60 ,$35.94 ,$39.54 ,$46.32 ,$50.78 ,"$63,640 ","$74,750 ","$82,250 ","$96,350 ","$105,620 ",0.327,0.79
"Psychologists, All Other (19-3039)",270,8.4,$53.52 ,"$111,330 ",4,$23.85 ,$31.30 ,$61.56 ,$69.51 ,$77.08 ,"$49,610 ","$65,110 ","$128,040 ","$144,580 ","$160,330 ",0.086,0.74
Urban and Regional Planners (19-3051),"1,110",10.6,$40.72 ,"$84,690 ",2.6,$28.95 ,$30.63 ,$37.60 ,$49.25 ,$58.60 ,"$60,210 ","$63,710 ","$78,200 ","$102,440 ","$121,880 ",0.348,1.25
Anthropologists and Archeologists (19-3091),620,17.8,$32.86 ,"$68,360 ",8.3,$22.51 ,$24.06 ,$29.15 ,$37.18 ,$49.74 ,"$46,820 ","$50,050 ","$60,630 ","$77,340 ","$103,460 ",0.193,3.69
Geographers (19-3092),40,6.5,$43.63 ,"$90,740 ",0.5,$29.79 ,$36.69 ,$41.85 ,$47.36 ,$57.57 ,"$61,960 ","$76,320 ","$87,050 ","$98,510 ","$119,750 ",0.012,1.36
Political Scientists (19-3094),40,28.6,$50.32 ,"$104,670 ",5.4,$32.70 ,$36.80 ,$50.05 ,$54.01 ,$80.75 ,"$68,020 ","$76,530 ","$104,100 ","$112,340 ","$167,960 ",0.013,0.35
"Social Scientists and Related Workers, All Other (19-3099)",700,8.7,$47.31 ,"$98,400 ",1.5,$30.61 ,$38.81 ,$46.81 ,$53.98 ,$63.04 ,"$63,660 ","$80,720 ","$97,360 ","$112,280 ","$131,120 ",0.218,0.91
Agricultural Technicians (19-4012),(8) -,(8) -,$29.13 ,"$60,590 ",6.2,$20.64 ,$25.93 ,$30.45 ,$34.47 ,$34.47 ,"$42,930 ","$53,930 ","$63,340 ","$71,690 ","$71,700 ",(8) -,(8) -
Biological Technicians (19-4021),870,8.3,$25.90 ,"$53,860 ",1.3,$19.02 ,$21.21 ,$24.93 ,$30.77 ,$35.13 ,"$39,560 ","$44,120 ","$51,850 ","$64,010 ","$73,070 ",0.271,0.55
Chemical Technicians (19-4031),470,10.2,$30.91 ,"$64,290 ",2.5,$20.05 ,$23.78 ,$30.30 ,$37.87 ,$41.15 ,"$41,700 ","$49,470 ","$63,030 ","$78,770 ","$85,600 ",0.146,0.41
"Environmental Science and Protection Technicians, Including Health (19-4042)",510,21.2,$28.19 ,"$58,630 ",5.1,$19.88 ,$21.86 ,$24.62 ,$31.17 ,$36.89 ,"$41,340 ","$45,460 ","$51,210 ","$64,840 ","$76,720 ",0.158,0.62
"Geological Technicians, Except Hydrologic Technicians (19-4043)",(8) -,(8) -,$24.48 ,"$50,920 ",4.8,$18.19 ,$18.19 ,$23.23 ,$29.69 ,$36.48 ,"$37,830 ","$37,840 ","$48,330 ","$61,760 ","$75,890 ",(8) -,(8) -
Social Science Research Assistants (19-4061),670,16.1,$27.23 ,"$56,640 ",4.6,$19.00 ,$23.56 ,$28.43 ,$28.43 ,$36.07 ,"$39,530 ","$49,000 ","$59,130 ","$59,130 ","$75,020 ",0.208,0.97
Forest and Conservation Technicians (19-4071),"1,350",3,$27.56 ,"$57,320 ",0.9,$17.80 ,$20.49 ,$26.11 ,$32.50 ,$38.84 ,"$37,020 ","$42,610 ","$54,310 ","$67,600 ","$80,790 ",0.422,2.1
Forensic Science Technicians (19-4092),880,2,$33.12 ,"$68,880 ",0.4,$21.92 ,$23.73 ,$29.15 ,$38.77 ,$52.81 ,"$45,590 ","$49,360 ","$60,620 ","$80,650 ","$109,850 ",0.276,2.19
"Life, Physical, and Social Science Technicians, All Other (19-4099)",400,12.7,$25.38 ,"$52,790 ",3.2,$17.64 ,$18.66 ,$22.76 ,$30.64 ,$36.53 ,"$36,680 ","$38,820 ","$47,330 ","$63,730 ","$75,970 ",0.124,0.27
Occupational Health and Safety Specialists (19-5011),"3,020",4,$40.83 ,"$84,920 ",1.6,$23.98 ,$31.07 ,$38.55 ,$48.42 ,$57.84 ,"$49,880 ","$64,620 ","$80,180 ","$100,710 ","$120,300 ",0.946,1.14
Occupational Health and Safety Technicians (19-5012),390,14.6,$31.55 ,"$65,620 ",3.4,$22.70 ,$24.11 ,$30.10 ,$36.42 ,$41.44 ,"$47,220 ","$50,150 ","$62,620 ","$75,740 ","$86,200 ",0.121,0.59
Community and Social Service Occupations (21-0000),"46,890",2.1,$27.85 ,"$57,940 ",0.9,$18.56 ,$21.54 ,$24.96 ,$31.37 ,$40.31 ,"$38,600 ","$44,800 ","$51,920 ","$65,260 ","$83,840 ",14.667,0.88
"Educational, Guidance, and Career Counselors and Advisors (21-1012)","6,060",3.8,$29.96 ,"$62,310 ",0.7,$21.61 ,$24.02 ,$27.86 ,$32.74 ,$39.44 ,"$44,940 ","$49,970 ","$57,940 ","$68,110 ","$82,040 ",1.896,0.85
Marriage and Family Therapists (21-1013),(8) -,(8) -,$26.36 ,"$54,830 ",4,$23.36 ,$23.49 ,$25.20 ,$27.68 ,$30.98 ,"$48,580 ","$48,860 ","$52,420 ","$57,570 ","$64,450 ",(8) -,(8) -
Rehabilitation Counselors (21-1015),"1,880",6.4,$22.71 ,"$47,230 ",1.4,$17.33 ,$19.38 ,$22.10 ,$25.00 ,$28.86 ,"$36,050 ","$40,310 ","$45,970 ","$52,000 ","$60,020 ",0.588,1.02
"Substance abuse, behavioral disorder, and mental health counselors (21-1018)","8,970",7.4,$32.64 ,"$67,890 ",2.7,$20.26 ,$24.35 ,$30.69 ,$38.46 ,$46.09 ,"$42,130 ","$50,650 ","$63,830 ","$79,990 ","$95,860 ",2.806,0.98
"Counselors, All Other (21-1019)",160,10.2,$25.89 ,"$53,860 ",1.4,$15.80 ,$22.41 ,$24.90 ,$28.42 ,$37.36 ,"$32,850 ","$46,610 ","$51,780 ","$59,120 ","$77,700 ",0.05,0.23
"Child, Family, and School Social Workers (21-1021)","7,770",3.4,$25.10 ,"$52,200 ",0.8,$20.15 ,$22.01 ,$24.10 ,$27.66 ,$31.68 ,"$41,900 ","$45,780 ","$50,140 ","$57,540 ","$65,900 ",2.43,0.98
Healthcare Social Workers (21-1022),"2,830",5.8,$33.95 ,"$70,610 ",2,$22.90 ,$26.99 ,$31.99 ,$39.27 ,$45.89 ,"$47,620 ","$56,140 ","$66,540 ","$81,680 ","$95,450 ",0.884,0.73
Mental Health and Substance Abuse Social Workers (21-1023),"3,610",5.7,$23.81 ,"$49,530 ",0.9,$19.13 ,$21.00 ,$22.43 ,$24.73 ,$29.77 ,"$39,790 ","$43,680 ","$46,650 ","$51,440 ","$61,910 ",1.129,1.38
"Social Workers, All Other (21-1029)","2,580",2.2,$32.56 ,"$67,720 ",0.5,$23.21 ,$24.11 ,$29.00 ,$36.66 ,$51.77 ,"$48,270 ","$50,150 ","$60,330 ","$76,240 ","$107,680 ",0.808,1.92
Health Education Specialists (21-1091),"1,070",10.3,$30.24 ,"$62,900 ",3.3,$19.36 ,$21.78 ,$27.93 ,$36.72 ,$47.01 ,"$40,270 ","$45,300 ","$58,100 ","$76,370 ","$97,780 ",0.334,0.79
Probation Officers and Correctional Treatment Specialists (21-1092),"1,230",1.3,$29.53 ,"$61,410 ",0.3,$22.01 ,$24.86 ,$28.97 ,$32.79 ,$36.90 ,"$45,790 ","$51,720 ","$60,250 ","$68,200 ","$76,750 ",0.386,0.69
Social and Human Service Assistants (21-1093),"6,900",5.9,$20.72 ,"$43,110 ",0.8,$17.16 ,$17.76 ,$19.78 ,$21.95 ,$25.30 ,"$35,700 ","$36,940 ","$41,150 ","$45,650 ","$52,620 ",2.159,0.78
Community Health Workers (21-1094),"1,160",11.4,$24.64 ,"$51,260 ",4.4,$18.06 ,$19.20 ,$23.10 ,$27.14 ,$32.54 ,"$37,570 ","$39,940 ","$48,050 ","$56,440 ","$67,690 ",0.363,0.92
"Community and Social Service Specialists, All Other (21-1099)",480,8.7,$26.42 ,"$54,960 ",1.7,$19.11 ,$21.55 ,$24.80 ,$30.28 ,$34.36 ,"$39,760 ","$44,820 ","$51,590 ","$62,990 ","$71,470 ",0.15,0.21
Clergy (21-2011),"1,380",14.1,$35.59 ,"$74,030 ",2.5,$18.70 ,$23.66 ,$29.99 ,$42.22 ,$56.35 ,"$38,900 ","$49,200 ","$62,380 ","$87,820 ","$117,200 ",0.432,1.15
"Directors, Religious Activities and Education (21-2021)",130,35.1,$30.51 ,"$63,470 ",13.4,$16.55 ,$16.69 ,$25.39 ,$40.34 ,$47.42 ,"$34,430 ","$34,720 ","$52,810 ","$83,900 ","$98,640 ",0.041,0.3
"Religious Workers, All Other (21-2099)",(8) -,(8) -,$26.24 ,"$54,590 ",1.2,$15.18 ,$19.13 ,$24.96 ,$31.06 ,$45.50 ,"$31,570 ","$39,790 ","$51,920 ","$64,600 ","$94,630 ",(8) -,(8) -
Legal Occupations (23-0000),"23,060",3.7,$57.32 ,"$119,230 ",4.6,$22.38 ,$29.90 ,$47.56 ,$70.59 ,$104.74 ,"$46,540 ","$62,200 ","$98,930 ","$146,820 ","$217,870 ",7.215,0.87
Lawyers (23-1011),"12,130",5.9,$77.63 ,"$161,480 ",5,$39.85 ,$49.08 ,$64.12 ,$91.22 ,(5) -,"$82,880 ","$102,090 ","$133,360 ","$189,730 ",(5) -,3.794,0.78
Judicial Law Clerks (23-1012),280,0.7,$27.82 ,"$57,860 ",0.7,$18.43 ,$23.14 ,$28.71 ,$28.93 ,$36.11 ,"$38,330 ","$48,140 ","$59,710 ","$60,170 ","$75,100 ",0.089,1.04
"Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021)",320,1.3,$55.37 ,"$115,170 ",0.7,$36.77 ,$44.95 ,$57.12 ,$58.14 ,$92.25 ,"$76,480 ","$93,500 ","$118,810 ","$120,920 ","$191,880 ",0.102,0.96
"Arbitrators, Mediators, and Conciliators (23-1022)",150,12.4,$38.50 ,"$80,080 ",4.3,$24.37 ,$31.34 ,$38.75 ,$47.09 ,$60.97 ,"$50,690 ","$65,180 ","$80,600 ","$97,950 ","$126,820 ",0.047,0.92
"Judges, Magistrate Judges, and Magistrates (23-1023)",620,1.1,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.195,1.17
Paralegals and Legal Assistants (23-2011),"6,780",10.9,$31.81 ,"$66,150 ",3.9,$20.91 ,$22.67 ,$29.43 ,$37.55 ,$46.67 ,"$43,480 ","$47,150 ","$61,220 ","$78,110 ","$97,070 ",2.12,0.89
"Title Examiners, Abstractors, and Searchers (23-2093)","1,490",18.2,$29.78 ,"$61,940 ",4.6,$18.90 ,$23.02 ,$28.71 ,$36.73 ,$43.28 ,"$39,310 ","$47,880 ","$59,710 ","$76,410 ","$90,020 ",0.466,1.49
"Legal Support Workers, All Other (23-2099)","1,290",6.3,$33.68 ,"$70,060 ",3.5,$20.63 ,$24.01 ,$30.04 ,$38.78 ,$57.29 ,"$42,910 ","$49,930 ","$62,480 ","$80,670 ","$119,170 ",0.402,1.31
Educational Instruction and Library Occupations (25-0000),"155,300",0.9,$28.84 ,"$59,980 ",0.8,$15.10 ,$18.19 ,$24.08 ,$32.86 ,$47.21 ,"$31,400 ","$37,840 ","$50,090 ","$68,350 ","$98,200 ",48.582,0.84
"Business Teachers, Postsecondary (25-1011)","1,670",2.5,(4) -,"$111,190 ",1.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$60,170 ","$68,350 ","$89,690 ","$141,260 ","$171,550 ",0.524,0.99
"Computer Science Teachers, Postsecondary (25-1021)",830,1.1,(4) -,"$94,370 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$62,260 ","$68,360 ","$80,230 ","$122,180 ","$135,640 ",0.258,1.1
"Mathematical Science Teachers, Postsecondary (25-1022)",830,3.5,(4) -,"$78,830 ",2.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$48,370 ","$62,210 ","$68,350 ","$84,930 ","$124,240 ",0.26,0.82
"Architecture Teachers, Postsecondary (25-1031)",80,5.6,(4) -,"$102,080 ",1.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$58,050 ","$59,590 ","$75,730 ","$122,370 ","$232,220 ",0.025,0.42
"Engineering Teachers, Postsecondary (25-1032)",580,1.5,(4) -,"$112,650 ",1,(4) -,(4) -,(4) -,(4) -,(4) -,"$63,320 ","$83,740 ","$105,690 ","$135,340 ","$175,160 ",0.18,0.7
"Agricultural Sciences Teachers, Postsecondary (25-1041)",50,1.7,(4) -,"$75,020 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,080 ","$57,090 ","$63,720 ","$94,230 ","$117,940 ",0.016,0.28
"Biological Science Teachers, Postsecondary (25-1042)","2,520",0.6,(4) -,"$106,150 ",1,(4) -,(4) -,(4) -,(4) -,(4) -,"$60,320 ","$68,350 ","$77,650 ","$126,860 ","$179,830 ",0.79,2.29
"Forestry and Conservation Science Teachers, Postsecondary (25-1043)",30,24.5,(4) -,"$89,360 ",4.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$66,800 ","$69,010 ","$71,670 ","$111,210 ","$122,630 ",0.01,1.19
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary (25-1051)",340,1.8,(4) -,"$120,440 ",1.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$62,060 ","$82,380 ","$113,790 ","$155,650 ","$163,490 ",0.106,1.43
"Chemistry Teachers, Postsecondary (25-1052)",190,4,(4) -,"$110,220 ",2.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$62,740 ","$73,410 ","$106,430 ","$129,870 ","$161,030 ",0.061,0.46
"Environmental Science Teachers, Postsecondary (25-1053)",230,0.2,(4) -,"$83,630 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$36,590 ","$58,290 ","$68,350 ","$106,660 ","$149,880 ",0.071,1.54
"Physics Teachers, Postsecondary (25-1054)",170,1.3,(4) -,"$116,930 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$64,950 ","$92,800 ","$122,160 ","$134,210 ","$159,940 ",0.052,0.59
"Anthropology and Archeology Teachers, Postsecondary (25-1061)",70,9.9,(4) -,"$103,420 ",3.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$50,380 ","$76,660 ","$97,940 ","$128,440 ","$184,340 ",0.021,0.62
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary (25-1062)",190,0.1,(4) -,"$89,180 ",0.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,160 ","$68,350 ","$87,140 ","$112,710 ","$127,420 ",0.06,0.81
"Economics Teachers, Postsecondary (25-1063)",90,1.5,(4) -,"$163,430 ",3.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$64,990 ","$102,660 ","$131,710 ","$230,530 ",(5) -,0.029,0.36
"Geography Teachers, Postsecondary (25-1064)",50,0.7,(4) -,"$91,530 ",0.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$53,800 ","$65,230 ","$77,200 ","$104,380 ","$136,930 ",0.015,0.71
"Political Science Teachers, Postsecondary (25-1065)",210,15.2,(4) -,"$98,590 ",2.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$50,380 ","$71,670 ","$98,760 ","$118,640 ","$142,820 ",0.066,0.6
"Psychology Teachers, Postsecondary (25-1066)",960,5.8,(4) -,"$85,490 ",1.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$51,550 ","$67,280 ","$76,460 ","$102,830 ","$129,240 ",0.299,1.11
"Sociology Teachers, Postsecondary (25-1067)",120,14.2,(4) -,"$113,460 ",4.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$51,680 ","$67,870 ","$106,460 ","$159,530 ","$177,210 ",0.036,0.45
"Social Sciences Teachers, Postsecondary, All Other (25-1069)",840,0.2,(4) -,"$78,150 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$52,040 ","$64,570 ","$68,350 ","$82,880 ","$105,390 ",0.263,2.31
"Health Specialties Teachers, Postsecondary (25-1071)","3,530",2.5,(4) -,"$125,330 ",1.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$50,030 ","$68,350 ","$95,960 ","$159,950 ","$223,350 ",1.104,0.74
"Nursing Instructors and Teachers, Postsecondary (25-1072)","1,920",8,(4) -,"$75,190 ",3.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,260 ","$62,380 ","$68,360 ","$81,650 ","$106,030 ",0.6,1.25
"Education Teachers, Postsecondary (25-1081)","2,150",2.2,(4) -,"$77,870 ",2.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,110 ","$60,580 ","$68,350 ","$99,080 ","$126,410 ",0.674,1.76
"Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111)",400,4.7,(4) -,"$83,080 ",5.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$55,500 ","$64,170 ","$68,350 ","$76,280 ","$152,890 ",0.126,1.44
"Law Teachers, Postsecondary (25-1112)",220,9.7,(4) -,"$138,150 ",2.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$38,620 ","$73,020 ","$106,510 ","$196,870 ",(5) -,0.069,0.47
"Social Work Teachers, Postsecondary (25-1113)",380,1.4,(4) -,"$75,830 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$47,080 ","$50,630 ","$73,770 ","$81,270 ","$105,790 ",0.118,1.37
"Art, Drama, and Music Teachers, Postsecondary (25-1121)","1,160",1.3,(4) -,"$77,170 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$51,160 ","$63,950 ","$68,350 ","$82,600 ","$117,420 ",0.364,0.57
"Communications Teachers, Postsecondary (25-1122)",860,0.8,(4) -,"$77,480 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$50,800 ","$63,900 ","$68,350 ","$82,650 ","$121,870 ",0.269,1.42
"English Language and Literature Teachers, Postsecondary (25-1123)","1,080",1.6,(4) -,"$83,570 ",1.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,420 ","$62,790 ","$68,370 ","$104,530 ","$131,710 ",0.338,0.87
"Foreign Language and Literature Teachers, Postsecondary (25-1124)",340,2,(4) -,"$76,830 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$47,480 ","$62,740 ","$68,350 ","$76,260 ","$136,290 ",0.107,0.78
"History Teachers, Postsecondary (25-1125)",170,10.6,(4) -,"$111,770 ",18.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$51,590 ","$68,350 ","$101,510 ","$123,670 ","$187,050 ",0.052,0.4
"Philosophy and Religion Teachers, Postsecondary (25-1126)",490,9.1,(4) -,"$89,540 ",1.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,230 ","$63,580 ","$80,180 ","$103,660 ","$134,930 ",0.153,1.13
"Recreation and Fitness Studies Teachers, Postsecondary (25-1193)",90,5.5,(4) -,"$104,780 ",2.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$62,610 ","$66,400 ","$94,660 ","$128,510 ","$163,100 ",0.027,0.33
