Occupation (SOC code),Employment (1),Employment percent relative standard error (3),Hourly mean wage,Annual mean wage (2),Wage percent relative standard error (3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage (2),Annual 25th percentile wage (2),Annual median wage (2),Annual 75th percentile wage (2),Annual 90th percentile wage (2),"Employment per 1,000 jobs",Location Quotient
Mechanical Engineering Technologists and Technicians (17-3027),330,8,$40.33 ,"$83,880 ",2.1,$24.43 ,$30.80 ,$42.21 ,$51.62 ,$51.90 ,"$50,820 ","$64,070 ","$87,800 ","$107,380 ","$107,950 ",0.378,1.56
Calibration Technologists and Technicians (17-3028),150,34.6,$34.63 ,"$72,030 ",10.4,$21.09 ,$21.84 ,$34.50 ,$44.99 ,$47.73 ,"$43,860 ","$45,440 ","$71,760 ","$93,580 ","$99,270 ",0.171,1.72
"Engineering Technologists and Technicians, Except Drafters, All Other (17-3029)",(8) -,(8) -,$45.39 ,"$94,410 ",0.9,$32.35 ,$41.49 ,$51.59 ,$51.59 ,$52.22 ,"$67,290 ","$86,300 ","$107,310 ","$107,310 ","$108,620 ",(8) -,(8) -
Surveying and Mapping Technicians (17-3031),550,11.4,$27.85 ,"$57,920 ",2.7,$18.73 ,$21.09 ,$26.81 ,$35.63 ,$37.99 ,"$38,960 ","$43,860 ","$55,760 ","$74,110 ","$79,010 ",0.64,1.74
"Life, Physical, and Social Science Occupations (19-0000)","10,500",2.2,$42.87 ,"$89,180 ",1.5,$21.20 ,$27.19 ,$36.77 ,$50.34 ,$76.37 ,"$44,090 ","$56,560 ","$76,470 ","$104,710 ","$158,850 ",12.192,1.3
Soil and Plant Scientists (19-1013),130,21.4,$32.81 ,"$68,250 ",6.6,$18.51 ,$24.78 ,$31.60 ,$38.77 ,$42.29 ,"$38,490 ","$51,540 ","$65,730 ","$80,640 ","$87,960 ",0.153,1.42
Zoologists and Wildlife Biologists (19-1023),170,2.6,$34.61 ,"$71,990 ",1,$23.56 ,$29.12 ,$31.96 ,$39.94 ,$45.82 ,"$49,000 ","$60,570 ","$66,480 ","$83,080 ","$95,310 ",0.192,1.75
"Biological Scientists, All Other (19-1029)",550,15.1,$40.64 ,"$84,520 ",8,$23.00 ,$28.82 ,$37.59 ,$47.38 ,$57.49 ,"$47,840 ","$59,950 ","$78,190 ","$98,550 ","$119,580 ",0.641,1.65
Conservation Scientists (19-1031),390,9.5,$36.24 ,"$75,380 ",1.3,$22.16 ,$28.62 ,$34.85 ,$43.20 ,$51.56 ,"$46,080 ","$59,540 ","$72,490 ","$89,860 ","$107,240 ",0.451,2.72
Foresters (19-1032),50,6.7,$33.22 ,"$69,100 ",0.6,$23.75 ,$26.00 ,$30.70 ,$36.42 ,$41.85 ,"$49,400 ","$54,080 ","$63,860 ","$75,750 ","$87,050 ",0.053,0.85
Epidemiologists (19-1041),80,0.2,$40.87 ,"$85,000 ",0.4,$34.35 ,$35.11 ,$39.00 ,$44.05 ,$48.60 ,"$71,450 ","$73,030 ","$81,120 ","$91,620 ","$101,090 ",0.096,1.29
"Medical Scientists, Except Epidemiologists (19-1042)",250,7.6,$35.15 ,"$73,110 ",13.8,$17.94 ,$23.73 ,$29.17 ,$38.33 ,$63.24 ,"$37,320 ","$49,350 ","$60,680 ","$79,720 ","$131,540 ",0.296,0.29
Physicists (19-2012),770,6,$89.25 ,"$185,650 ",1.6,$64.57 ,$68.83 ,$84.60 ,$105.50 ,(5) -,"$134,310 ","$143,170 ","$175,960 ","$219,440 ",(5) -,0.897,6.48
Atmospheric and Space Scientists (19-2021),60,2.1,$52.81 ,"$109,840 ",1.2,$28.82 ,$39.46 ,$54.92 ,$64.63 ,$76.37 ,"$59,950 ","$82,070 ","$114,230 ","$134,430 ","$158,850 ",0.067,1.18
Chemists (19-2031),210,16.1,$62.16 ,"$129,290 ",8.7,$25.01 ,$33.01 ,$64.60 ,$90.54 ,$96.63 ,"$52,020 ","$68,660 ","$134,370 ","$188,330 ","$200,990 ",0.239,0.44
"Environmental Scientists and Specialists, Including Health (19-2041)","1,160",8.9,$41.80 ,"$86,940 ",3.4,$23.86 ,$31.91 ,$38.10 ,$49.52 ,$64.09 ,"$49,640 ","$66,360 ","$79,250 ","$103,000 ","$133,300 ",1.345,2.44
"Geoscientists, Except Hydrologists and Geographers (19-2042)",90,38.3,$48.29 ,"$100,450 ",19.2,$25.25 ,$33.99 ,$45.06 ,$56.93 ,$81.77 ,"$52,530 ","$70,700 ","$93,720 ","$118,410 ","$170,080 ",0.108,0.74
Hydrologists (19-2043),110,16,$45.36 ,"$94,350 ",4.1,$26.53 ,$35.05 ,$46.47 ,$54.34 ,$60.28 ,"$55,190 ","$72,900 ","$96,660 ","$113,030 ","$125,380 ",0.133,3.57
"Physical Scientists, All Other (19-2099)",240,1.4,$62.62 ,"$130,250 ",0.8,$32.79 ,$43.17 ,$61.10 ,$81.42 ,$94.97 ,"$68,200 ","$89,790 ","$127,090 ","$169,350 ","$197,540 ",0.277,1.89
Economists (19-3011),(8) -,(8) -,$44.03 ,"$91,570 ",26.7,$30.09 ,$30.09 ,$39.66 ,$49.84 ,$61.01 ,"$62,590 ","$62,590 ","$82,490 ","$103,670 ","$126,890 ",(8) -,(8) -
Survey Researchers (19-3022),120,5.4,$29.38 ,"$61,100 ",0.5,$23.91 ,$27.16 ,$28.34 ,$32.43 ,$35.26 ,"$49,740 ","$56,490 ","$58,950 ","$67,450 ","$73,340 ",0.143,2.86
Clinical and Counseling Psychologists (19-3033),220,33.5,$42.17 ,"$87,710 ",7.6,$23.49 ,$23.77 ,$35.51 ,$52.62 ,$73.62 ,"$48,860 ","$49,440 ","$73,860 ","$109,450 ","$153,130 ",0.26,0.56
School Psychologists (19-3034),540,12.9,$49.93 ,"$103,850 ",2.7,$39.34 ,$40.22 ,$48.13 ,$60.41 ,$61.99 ,"$81,820 ","$83,660 ","$100,100 ","$125,650 ","$128,930 ",0.627,1.51
"Psychologists, All Other (19-3039)",130,23,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,(8) -,0.154,1.33
Urban and Regional Planners (19-3051),410,5.1,$34.43 ,"$71,610 ",0.8,$25.68 ,$29.33 ,$32.01 ,$37.12 ,$46.68 ,"$53,420 ","$61,000 ","$66,570 ","$77,210 ","$97,100 ",0.477,1.71
Anthropologists and Archeologists (19-3091),260,17.9,$32.10 ,"$66,760 ",4.7,$18.31 ,$24.50 ,$31.45 ,$37.82 ,$45.06 ,"$38,090 ","$50,960 ","$65,410 ","$78,660 ","$93,720 ",0.3,5.73
"Social Scientists and Related Workers, All Other (19-3099)",240,10.5,$44.13 ,"$91,780 ",1.8,$26.99 ,$35.24 ,$43.20 ,$52.10 ,$65.30 ,"$56,140 ","$73,300 ","$89,860 ","$108,370 ","$135,820 ",0.284,1.18
Food Science Technicians (19-4013),120,7.4,$21.10 ,"$43,890 ",1.8,$16.53 ,$19.13 ,$21.15 ,$21.15 ,$23.47 ,"$34,390 ","$39,780 ","$43,990 ","$44,000 ","$48,820 ",0.138,1.5
Chemical Technicians (19-4031),100,33.4,$31.90 ,"$66,360 ",5.7,$21.20 ,$21.66 ,$30.10 ,$42.57 ,$48.45 ,"$44,090 ","$45,050 ","$62,610 ","$88,550 ","$100,770 ",0.112,0.31
"Environmental Science and Protection Technicians, Including Health (19-4042)",460,14.9,$29.97 ,"$62,330 ",2.8,$18.59 ,$23.09 ,$27.85 ,$35.95 ,$46.00 ,"$38,670 ","$48,020 ","$57,930 ","$74,780 ","$95,680 ",0.532,2.08
"Geological Technicians, Except Hydrologic Technicians (19-4043)",(8) -,(8) -,$30.75 ,"$63,960 ",5.6,$29.37 ,$30.85 ,$30.85 ,$30.85 ,$32.55 ,"$61,090 ","$64,170 ","$64,170 ","$64,170 ","$67,700 ",(8) -,(8) -
Nuclear Technicians (19-4051),(8) -,(8) -,$48.65 ,"$101,200 ",2.5,$40.78 ,$50.65 ,$50.65 ,$50.65 ,$50.65 ,"$84,820 ","$105,350 ","$105,350 ","$105,350 ","$105,350 ",(8) -,(8) -
Social Science Research Assistants (19-4061),110,28.5,$23.25 ,"$48,350 ",6.3,$18.30 ,$18.50 ,$21.34 ,$23.03 ,$33.76 ,"$38,070 ","$38,490 ","$44,390 ","$47,900 ","$70,220 ",0.125,0.58
Forensic Science Technicians (19-4092),200,1.1,$31.73 ,"$65,990 ",0.2,$21.39 ,$23.86 ,$29.75 ,$37.10 ,$46.35 ,"$44,490 ","$49,630 ","$61,890 ","$77,160 ","$96,410 ",0.235,1.87
"Life, Physical, and Social Science Technicians, All Other (19-4099)",180,11.8,$29.32 ,"$60,980 ",3,$19.02 ,$21.86 ,$27.49 ,$35.79 ,$38.90 ,"$39,560 ","$45,470 ","$57,180 ","$74,440 ","$80,900 ",0.21,0.45
Occupational Health and Safety Specialists (19-5011),"1,000",9.2,$41.43 ,"$86,170 ",4.7,$22.00 ,$28.07 ,$38.38 ,$46.78 ,$59.74 ,"$45,760 ","$58,380 ","$79,820 ","$97,310 ","$124,260 ",1.165,1.4
Occupational Health and Safety Technicians (19-5012),410,20.9,$38.73 ,"$80,550 ",3.3,$24.63 ,$27.86 ,$36.50 ,$48.59 ,$65.71 ,"$51,230 ","$57,950 ","$75,920 ","$101,070 ","$136,670 ",0.476,2.34
Community and Social Service Occupations (21-0000),"14,320",2.5,$30.16 ,"$62,740 ",1.2,$17.64 ,$22.18 ,$28.31 ,$36.80 ,$43.35 ,"$36,700 ","$46,130 ","$58,890 ","$76,550 ","$90,160 ",16.628,1
"Educational, Guidance, and Career Counselors and Advisors (21-1012)","1,760",3.5,$36.55 ,"$76,030 ",1.4,$22.24 ,$27.37 ,$36.78 ,$40.61 ,$54.84 ,"$46,270 ","$56,930 ","$76,490 ","$84,460 ","$114,070 ",2.049,0.92
Marriage and Family Therapists (21-1013),250,20,$33.01 ,"$68,660 ",2.3,$25.12 ,$27.79 ,$32.69 ,$36.57 ,$40.89 ,"$52,250 ","$57,800 ","$67,990 ","$76,070 ","$85,060 ",0.295,0.69
Rehabilitation Counselors (21-1015),210,10.3,$26.14 ,"$54,360 ",3.1,$17.65 ,$19.06 ,$24.78 ,$30.66 ,$35.84 ,"$36,700 ","$39,640 ","$51,540 ","$63,770 ","$74,550 ",0.249,0.43
"Substance abuse, behavioral disorder, and mental health counselors (21-1018)","2,070",6.6,$34.14 ,"$71,010 ",2.7,$23.03 ,$26.47 ,$34.02 ,$38.86 ,$44.48 ,"$47,910 ","$55,060 ","$70,770 ","$80,840 ","$92,520 ",2.402,0.84
"Child, Family, and School Social Workers (21-1021)","2,850",7.1,$28.20 ,"$58,650 ",2,$16.88 ,$21.16 ,$23.81 ,$33.45 ,$44.14 ,"$35,120 ","$44,010 ","$49,530 ","$69,580 ","$91,820 ",3.307,1.33
Healthcare Social Workers (21-1022),730,5.4,$31.80 ,"$66,150 ",1.7,$20.02 ,$23.12 ,$31.77 ,$38.53 ,$43.12 ,"$41,630 ","$48,080 ","$66,090 ","$80,130 ","$89,690 ",0.848,0.7
Mental Health and Substance Abuse Social Workers (21-1023),620,16.4,$33.95 ,"$70,620 ",8,$17.38 ,$26.47 ,$31.54 ,$39.05 ,$59.75 ,"$36,150 ","$55,060 ","$65,600 ","$81,220 ","$124,270 ",0.724,0.89
"Social Workers, All Other (21-1029)",550,3.7,$35.88 ,"$74,630 ",0.9,$27.21 ,$30.07 ,$33.15 ,$40.25 ,$51.17 ,"$56,600 ","$62,550 ","$68,950 ","$83,720 ","$106,430 ",0.638,1.52
Health Education Specialists (21-1091),460,13.5,$31.79 ,"$66,120 ",3.2,$19.22 ,$23.45 ,$29.68 ,$36.61 ,$46.47 ,"$39,980 ","$48,770 ","$61,730 ","$76,150 ","$96,660 ",0.532,1.26
Probation Officers and Correctional Treatment Specialists (21-1092),600,1.1,$31.18 ,"$64,860 ",0.2,$26.12 ,$27.44 ,$30.53 ,$34.39 ,$40.25 ,"$54,330 ","$57,080 ","$63,500 ","$71,530 ","$83,720 ",0.693,1.23
Social and Human Service Assistants (21-1093),"2,880",8.6,$21.96 ,"$45,670 ",2.5,$15.23 ,$17.68 ,$21.62 ,$25.34 ,$29.30 ,"$31,670 ","$36,780 ","$44,980 ","$52,710 ","$60,940 ",3.34,1.21
Community Health Workers (21-1094),930,2.9,$33.41 ,"$69,490 ",0.9,$21.13 ,$26.14 ,$34.23 ,$41.60 ,$41.60 ,"$43,940 ","$54,380 ","$71,210 ","$86,530 ","$86,530 ",1.085,2.75
"Community and Social Service Specialists, All Other (21-1099)",130,6.9,$25.14 ,"$52,290 ",1.6,$20.63 ,$22.35 ,$24.91 ,$27.36 ,$30.31 ,"$42,920 ","$46,490 ","$51,810 ","$56,910 ","$63,040 ",0.146,0.2
Clergy (21-2011),230,11.6,$29.02 ,"$60,350 ",4.4,$16.47 ,$21.37 ,$27.64 ,$36.00 ,$44.05 ,"$34,260 ","$44,440 ","$57,490 ","$74,880 ","$91,620 ",0.272,0.72
Legal Occupations (23-0000),"6,060",3.7,$49.62 ,"$103,220 ",3.8,$22.58 ,$28.17 ,$39.95 ,$59.88 ,$83.17 ,"$46,960 ","$58,580 ","$83,100 ","$124,550 ","$172,990 ",7.042,0.85
Lawyers (23-1011),"3,130",5.2,$65.32 ,"$135,860 ",4.9,$34.32 ,$44.94 ,$54.09 ,$74.74 ,$105.49 ,"$71,390 ","$93,460 ","$112,500 ","$155,460 ","$219,410 ",3.641,0.75
"Administrative Law Judges, Adjudicators, and Hearing Officers (23-1021)",170,0,$43.37 ,"$90,210 ",0,$23.87 ,$27.57 ,$31.53 ,$56.93 ,$74.85 ,"$49,650 ","$57,350 ","$65,580 ","$118,410 ","$155,690 ",0.192,1.82
"Arbitrators, Mediators, and Conciliators (23-1022)",40,1.8,$41.46 ,"$86,240 ",0.8,$26.88 ,$27.86 ,$31.04 ,$57.30 ,$65.30 ,"$55,910 ","$57,950 ","$64,560 ","$119,180 ","$135,820 ",0.043,0.85
"Judges, Magistrate Judges, and Magistrates (23-1023)",240,2,$69.77 ,"$145,110 ",1,$47.59 ,$59.26 ,$79.01 ,$83.17 ,$84.04 ,"$98,980 ","$123,260 ","$164,340 ","$172,990 ","$174,800 ",0.284,1.71
Paralegals and Legal Assistants (23-2011),"1,660",9.4,$28.18 ,"$58,620 ",1.9,$21.18 ,$23.29 ,$27.22 ,$31.46 ,$37.29 ,"$44,050 ","$48,450 ","$56,620 ","$65,450 ","$77,570 ",1.927,0.81
"Title Examiners, Abstractors, and Searchers (23-2093)",640,13,$26.84 ,"$55,830 ",3.1,$18.82 ,$20.93 ,$24.78 ,$30.62 ,$37.37 ,"$39,150 ","$43,530 ","$51,550 ","$63,690 ","$77,730 ",0.744,2.38
"Legal Support Workers, All Other (23-2099)",80,2.4,$37.01 ,"$76,970 ",1,$23.56 ,$26.10 ,$29.01 ,$32.53 ,$82.64 ,"$49,000 ","$54,290 ","$60,340 ","$67,660 ","$171,890 ",0.094,0.31
Educational Instruction and Library Occupations (25-0000),"51,020",1,$30.92 ,"$64,310 ",1,$13.95 ,$18.21 ,$29.45 ,$37.03 ,$48.17 ,"$29,010 ","$37,880 ","$61,250 ","$77,020 ","$100,200 ",59.265,1.02
"Business Teachers, Postsecondary (25-1011)",460,2.8,(4) -,"$91,700 ",1.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$48,970 ","$80,590 ","$125,920 ","$166,640 ",0.538,1.01
"Computer Science Teachers, Postsecondary (25-1021)",210,8.1,(4) -,"$88,400 ",4.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$53,880 ","$60,120 ","$76,230 ","$101,180 ","$153,390 ",0.248,1.05
"Mathematical Science Teachers, Postsecondary (25-1022)",430,5.3,(4) -,"$69,220 ",1.6,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$40,960 ","$61,460 ","$81,060 ","$102,020 ",0.501,1.58
"Architecture Teachers, Postsecondary (25-1031)",50,2.2,(4) -,"$70,550 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$57,590 ","$57,960 ","$67,000 ","$80,220 ","$106,590 ",0.054,0.91
"Engineering Teachers, Postsecondary (25-1032)",230,1.2,(4) -,"$103,610 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$61,860 ","$76,060 ","$102,520 ","$131,730 ","$132,440 ",0.27,1.04
"Agricultural Sciences Teachers, Postsecondary (25-1041)",80,5.5,(4) -,"$102,790 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$69,910 ","$81,130 ","$103,920 ","$131,560 ","$154,250 ",0.092,1.64
"Biological Science Teachers, Postsecondary (25-1042)",180,6.2,(4) -,"$97,000 ",2,(4) -,(4) -,(4) -,(4) -,(4) -,"$57,930 ","$64,490 ","$81,700 ","$111,140 ","$141,560 ",0.205,0.59
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary (25-1051)",50,7,(4) -,"$93,630 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$58,900 ","$80,190 ","$102,670 ","$107,160 ","$131,870 ",0.06,0.81
"Chemistry Teachers, Postsecondary (25-1052)",80,1.9,(4) -,"$88,360 ",1,(4) -,(4) -,(4) -,(4) -,(4) -,"$59,870 ","$63,900 ","$81,800 ","$99,310 ","$135,120 ",0.092,0.69
"Environmental Science Teachers, Postsecondary (25-1053)",30,0.5,(4) -,"$99,880 ",0.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$52,360 ","$52,360 ","$106,780 ","$138,560 ","$138,560 ",0.039,0.83
"Physics Teachers, Postsecondary (25-1054)",60,2,(4) -,"$102,210 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$78,240 ","$85,690 ","$104,450 ","$105,390 ","$135,660 ",0.067,0.76
"Anthropology and Archeology Teachers, Postsecondary (25-1061)",40,2.1,(4) -,"$98,310 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$73,490 ","$85,660 ","$100,300 ","$102,130 ","$155,390 ",0.051,1.49
"Economics Teachers, Postsecondary (25-1063)",70,4.8,(4) -,"$110,050 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$78,280 ","$102,340 ","$105,570 ","$126,930 ","$126,930 ",0.077,0.96
"Geography Teachers, Postsecondary (25-1064)",40,9.4,(4) -,"$88,110 ",2.3,(4) -,(4) -,(4) -,(4) -,(4) -,"$60,550 ","$61,010 ","$85,460 ","$92,530 ","$129,880 ",0.044,2.09
"Political Science Teachers, Postsecondary (25-1065)",30,16.7,(4) -,"$92,500 ",4.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$58,800 ","$66,260 ","$77,380 ","$102,210 ","$125,510 ",0.04,0.36
"Psychology Teachers, Postsecondary (25-1066)",130,4.3,(4) -,"$86,080 ",2.3,(4) -,(4) -,(4) -,(4) -,(4) -,"$48,700 ","$57,710 ","$80,260 ","$100,590 ","$126,810 ",0.146,0.54
"Sociology Teachers, Postsecondary (25-1067)",50,5,(4) -,"$86,120 ",1.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$61,730 ","$67,250 ","$74,600 ","$101,900 ","$121,570 ",0.061,0.76
"Social Sciences Teachers, Postsecondary, All Other (25-1069)",60,47.5,(4) -,"$79,910 ",5.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$63,420 ","$67,650 ","$86,530 ","$89,640 ","$94,560 ",0.066,0.58
"Health Specialties Teachers, Postsecondary (25-1071)","1,630",3,(4) -,"$166,910 ",2.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$63,930 ","$129,170 ","$223,810 ",(5) -,1.896,1.27
"Nursing Instructors and Teachers, Postsecondary (25-1072)",360,8.3,(4) -,"$74,280 ",1.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$57,030 ","$77,850 ","$86,870 ","$105,240 ",0.42,0.87
"Education Teachers, Postsecondary (25-1081)",320,2.4,(4) -,"$67,910 ",0.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$39,700 ","$45,710 ","$62,460 ","$80,280 ","$104,210 ",0.375,0.98
"Criminal Justice and Law Enforcement Teachers, Postsecondary (25-1111)",40,2.6,(4) -,"$66,090 ",3.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$37,810 ","$46,280 ","$63,850 ","$73,360 ","$93,040 ",0.046,0.52
"Social Work Teachers, Postsecondary (25-1113)",260,5.5,(4) -,"$65,250 ",1.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$46,710 ","$46,710 ","$61,200 ","$78,280 ","$92,970 ",0.304,3.51
"Art, Drama, and Music Teachers, Postsecondary (25-1121)",430,1.1,(4) -,"$78,750 ",0.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$45,760 ","$60,040 ","$63,990 ","$95,170 ","$126,630 ",0.497,0.78
"Communications Teachers, Postsecondary (25-1122)",450,9,(4) -,"$59,160 ",5.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$40,960 ","$40,960 ","$47,870 ","$65,760 ","$95,200 ",0.523,2.75
"English Language and Literature Teachers, Postsecondary (25-1123)",260,5.5,(4) -,"$82,000 ",5.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,810 ","$62,840 ","$66,830 ","$93,030 ","$147,320 ",0.298,0.77
"Foreign Language and Literature Teachers, Postsecondary (25-1124)",60,2.9,(4) -,"$77,240 ",2.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$47,220 ","$60,710 ","$72,670 ","$79,920 ","$122,430 ",0.073,0.53
"History Teachers, Postsecondary (25-1125)",140,5.6,(4) -,"$96,230 ",4.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$61,350 ","$69,630 ","$80,940 ","$99,410 ","$155,440 ",0.158,1.22
"Recreation and Fitness Studies Teachers, Postsecondary (25-1193)",40,9.4,(4) -,"$70,400 ",2.7,(4) -,(4) -,(4) -,(4) -,(4) -,"$37,080 ","$62,250 ","$75,170 ","$81,990 ","$93,770 ",0.052,0.63
"Career/Technical Education Teachers, Postsecondary (25-1194)",640,8.8,$37.85 ,"$78,730 ",10,$17.79 ,$21.99 ,$29.44 ,$44.07 ,$81.49 ,"$37,000 ","$45,740 ","$61,240 ","$91,660 ","$169,510 ",0.746,1.04
"Postsecondary Teachers, All Other (25-1199)","1,170",8.7,(4) -,"$85,160 ",1.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$46,590 ","$60,550 ","$79,900 ","$101,530 ","$125,990 ",1.354,1.38
"Preschool Teachers, Except Special Education (25-2011)","2,460",10.8,(4) -,"$47,120 ",4.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$27,770 ","$29,780 ","$37,900 ","$60,410 ","$78,960 ",2.86,0.99
"Kindergarten Teachers, Except Special Education (25-2012)","1,200",12.4,(4) -,"$69,080 ",2.3,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,910 ","$60,300 ","$69,690 ","$77,740 ","$82,340 ",1.392,1.88
"Elementary School Teachers, Except Special Education (25-2021)","7,480",6.4,(4) -,"$69,150 ",1.5,(4) -,(4) -,(4) -,(4) -,(4) -,"$50,770 ","$60,570 ","$65,510 ","$76,780 ","$83,060 ",8.685,0.96
"Middle School Teachers, Except Special and Career/Technical Education (25-2022)","4,120",13,(4) -,"$75,190 ",3.2,(4) -,(4) -,(4) -,(4) -,(4) -,"$51,700 ","$61,970 ","$73,520 ","$79,750 ","$103,690 ",4.786,1.19
"Secondary School Teachers, Except Special and Career/Technical Education (25-2031)","6,810",8.6,(4) -,"$70,130 ",1.1,(4) -,(4) -,(4) -,(4) -,(4) -,"$52,190 ","$61,020 ","$66,960 ","$77,180 ","$87,240 ",7.912,1.14
"Career/Technical Education Teachers, Secondary School (25-2032)",140,19.9,(4) -,"$69,750 ",4,(4) -,(4) -,(4) -,(4) -,(4) -,"$49,920 ","$61,290 ","$70,710 ","$79,560 ","$89,820 ",0.159,0.23
"Special Education Teachers, Preschool (25-2051)",(8) -,(8) -,(4) -,"$64,940 ",7.4,(4) -,(4) -,(4) -,(4) -,(4) -,"$34,230 ","$61,400 ","$63,810 ","$77,580 ","$80,360 ",(8) -,(8) -
"Special Education Teachers, Kindergarten and Elementary School (25-2052)","1,000",14.9,(4) -,"$70,530 ",2.9,(4) -,(4) -,(4) -,(4) -,(4) -,"$56,280 ","$60,530 ","$66,490 ","$77,860 ","$94,160 ",1.16,0.77
"Special Education Teachers, Middle School (25-2057)",720,30.1,(4) -,"$74,980 ",4.3,(4) -,(4) -,(4) -,(4) -,(4) -,"$55,870 ","$62,760 ","$75,940 ","$79,240 ","$103,690 ",0.831,1.34
"Special Education Teachers, Secondary School (25-2058)","1,610",14.2,(4) -,"$70,670 ",1.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$58,830 ","$61,700 ","$71,960 ","$77,190 ","$83,470 ",1.865,1.77
"Special Education Teachers, All Other (25-2059)",150,9.8,(4) -,"$87,940 ",2,(4) -,(4) -,(4) -,(4) -,(4) -,"$67,880 ","$76,960 ","$83,030 ","$102,920 ","$102,970 ",0.171,0.67
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors (25-3011)",160,8,$27.06 ,"$56,270 ",1.4,$19.12 ,$19.69 ,$25.95 ,$31.02 ,$38.93 ,"$39,760 ","$40,960 ","$53,980 ","$64,510 ","$80,970 ",0.189,0.8
Self-Enrichment Teachers (25-3021),"1,190",9.7,$25.54 ,"$53,120 ",5.1,$13.29 ,$16.79 ,$22.15 ,$31.84 ,$45.51 ,"$27,650 ","$34,930 ","$46,070 ","$66,230 ","$94,660 ",1.38,0.69
"Substitute Teachers, Short-Term (25-3031)","2,590",10.1,$17.22 ,"$35,820 ",0.9,$13.47 ,$14.98 ,$17.84 ,$18.13 ,$20.17 ,"$28,010 ","$31,160 ","$37,100 ","$37,720 ","$41,950 ",3.007,0.96
Tutors (25-3041),480,8.9,$19.97 ,"$41,540 ",3.9,$13.30 ,$14.77 ,$16.92 ,$18.70 ,$36.22 ,"$27,670 ","$30,720 ","$35,180 ","$38,900 ","$75,330 ",0.56,0.49
"Teachers and Instructors, All Other (25-3099)",700,10.7,(4) -,"$67,060 ",3.8,(4) -,(4) -,(4) -,(4) -,(4) -,"$31,280 ","$46,220 ","$66,020 ","$80,970 ","$97,560 ",0.808,1
Archivists (25-4011),(8) -,(8) -,$40.69 ,"$84,640 ",3,$22.58 ,$27.62 ,$40.27 ,$50.37 ,$62.31 ,"$46,970 ","$57,450 ","$83,770 ","$104,780 ","$129,590 ",(8) -,(8) -
Curators (25-4012),150,4.9,$28.64 ,"$59,580 ",1,$23.24 ,$24.20 ,$29.16 ,$30.05 ,$34.84 ,"$48,340 ","$50,340 ","$60,650 ","$62,500 ","$72,460 ",0.179,2.25
Museum Technicians and Conservators (25-4013),130,14.7,$25.06 ,"$52,120 ",2,$18.12 ,$20.98 ,$24.60 ,$26.60 ,$32.21 ,"$37,680 ","$43,640 ","$51,170 ","$55,330 ","$66,990 ",0.149,1.76
Librarians and Media Collections Specialists (25-4022),660,5,$30.95 ,"$64,380 ",1.9,$17.97 ,$23.27 ,$29.11 ,$35.75 ,$49.70 ,"$37,380 ","$48,400 ","$60,560 ","$74,360 ","$103,380 ",0.768,0.9
Library Technicians (25-4031),660,5.7,$18.87 ,"$39,240 ",1.3,$13.34 ,$15.45 ,$17.39 ,$21.94 ,$26.09 ,"$27,750 ","$32,130 ","$36,170 ","$45,630 ","$54,280 ",0.766,1.6
Farm and Home Management Educators (25-9021),110,23.5,$30.47 ,"$63,380 ",2.9,$24.94 ,$28.82 ,$30.00 ,$31.49 ,$33.51 ,"$51,880 ","$59,950 ","$62,400 ","$65,490 ","$69,690 ",0.129,1.94
