,Ins AIA,,,,Date Paid,Amount,Payee - Select,Payment Note,Date Paid,Date Paid,Amount,,,,
$0.00 ,50%,$31.98 ,"3,351",$63.95 ,UNIT_2_SHOW,TIL,Tile - soap dish - High grade,1,$57.96 ,SDISH+,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,50%,$101.18 ,"3,353",$202.35 ,UNIT_2_SHOW,TIL,Tile - shampoo corner shelf - ceramic or cultured marble,2,$182.78 ,SCS,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,50%,$418.44 ,"3,354",$836.88 ,UNIT_2_SHOW,TIL,Tile concrete shower curb - per LF,5,$765.13 ,SWRCC,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,50%,$43.06 ,"3,355",$86.11 ,UNIT_2_SHOW,TIL,"Ceramic tile - bullnose - 3/4"" x 6"" - High grade",5,$78.76 ,AVB+,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,100%,$84.82 ,"3,356",$84.82 ,UNIT_2_SHOW,PLM,Floor drain - tub/shower - metal/plastic,1,$78.24 ,FLD,1/14/25,25.7.31 | 11:3AM,,,
$0.00 ,100%,$315.47 ,405,$315.47 ,UNIT_2_WALK2,WTR,Muck-out/Flood loss cleanup - Heavy,50.75,$315.47 ,MUCK+,6/19/25,25.7.31 | 11:2AM,RO Owner completed,Install 1 ea light.,
$0.00 ,100%,$34.32 ,406,$34.32 ,UNIT_2_WALK2,WTR,Apply anti-microbial agent to the floor,50.75,$34.32 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,50%,$128.85 ,407,$257.69 ,UNIT_2_WALK2,TIL,Regrout tile,50.75,$257.69 ,GROUT,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$31.53 ,408,$63.06 ,UNIT_2_WALK2,TIL,Tile/stone sealer,50.75,$63.06 ,SEALS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$77.08 ,409,$77.08 ,UNIT_2_WALK2,WTR,Apply anti-microbial agent to part of the walls,114,$77.08 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$152.04 ,410,$152.04 ,UNIT_2_WALK2,CLN,Clean stud wall,114,$152.04 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$186.39 ,411,$186.39 ,UNIT_2_WALK2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",28.5,$186.39 ,DRYN4,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,100%,$627.79 ,412,$627.79 ,UNIT_2_WALK2,DRY,"1/2"" - drywall per LF - up to 4' tall",28.5,$549.32 ,LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$100.56 ,413,$201.11 ,UNIT_2_WALK2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,142.5,$172.62 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$13.01 ,414,$26.02 ,UNIT_2_WALK2,PNT,Scrape part of the walls & prep for paint,28.5,$26.02 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$290.03 ,415,$290.03 ,UNIT_2_WALK2,DRY,Texture drywall - heavy hand texture,142.5,$253.78 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$154.85 ,416,$309.69 ,UNIT_2_WALK2,PNT,Paint the walls - one coat,228,$265.82 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$42.64 ,417,$42.64 ,UNIT_2_WALK2,WTR,Tear out baseboard- up to Cat 3,28.5,$42.64 ,BASEB,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,50%,$80.48 ,418,$160.95 ,UNIT_2_WALK2,FNC,"Baseboard - 3 1/4""",28.5,$143.52 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$29.98 ,419,$59.95 ,UNIT_2_WALK2,PNT,Paint baseboard - two coats,28.5,$51.46 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$37.17 ,420,$74.34 ,UNIT_2_WALK2,FNC,Base shoe,28.5,$67.17 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$16.59 ,421,$33.18 ,UNIT_2_WALK2,PNT,Seal & paint base shoe or quarter round,28.5,$28.48 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$470.43 ,422,$940.85 ,UNIT_2_WALK2,DOR,Interior door unit,2,$831.33 ,AV,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$111.59 ,423,$223.18 ,UNIT_2_WALK2,PNT,Paint door slab only - 2 coats (per side),4,$191.57 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$92.82 ,424,$185.64 ,UNIT_2_WALK2,PNT,Paint door/window trim & jamb - 2 coats (per side),4,$159.34 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$78.48 ,425,$156.96 ,UNIT_2_WALK2,FNH,Door knob - interior,2,$142.73 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,"$1,007.73 ",426,"$1,259.66 ",UNIT_2_WALK2,FNC,Closet Organizer - Wire shelves,14,"$1,259.66 ",CLOSW,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,$281.22 ,427,$351.53 ,UNIT_2_WALK2,FNC,Closet Organizer - Wire shelves,3,$312.44 ,CLOSW,11/26/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,"$1,087.11 ",430,"$1,087.11 ",UNIT_2_BEDR2,WTR,Muck-out/Flood loss cleanup - Heavy,174.89,"$1,087.11 ",MUCK+,6/19/25,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,100%,$118.25 ,431,$118.25 ,UNIT_2_BEDR2,WTR,Apply anti-microbial agent to the floor,174.89,$118.25 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,50%,$443.98 ,432,$887.96 ,UNIT_2_BEDR2,TIL,Regrout tile,174.89,$887.96 ,GROUT,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$108.63 ,433,$217.25 ,UNIT_2_BEDR2,TIL,Tile/stone sealer,174.89,$217.25 ,SEALS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$161.40 ,434,$161.40 ,UNIT_2_BEDR2,WTR,Apply anti-microbial agent to part of the walls,238.67,$161.40 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$318.29 ,435,$318.29 ,UNIT_2_BEDR2,CLN,Clean stud wall,238.67,$318.29 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$390.24 ,436,$390.24 ,UNIT_2_BEDR2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",59.67,$390.24 ,DRYN4,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,100%,"$1,314.37 ",437,"$1,314.37 ",UNIT_2_BEDR2,DRY,"1/2"" - drywall per LF - up to 4' tall",59.67,"$1,150.08 ",LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$210.52 ,438,$421.04 ,UNIT_2_BEDR2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,298.33,$361.39 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$27.24 ,439,$54.47 ,UNIT_2_BEDR2,PNT,Scrape part of the walls & prep for paint,59.67,$54.47 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$607.19 ,440,$607.19 ,UNIT_2_BEDR2,DRY,Texture drywall - heavy hand texture,298.33,$531.29 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$324.18 ,441,$648.35 ,UNIT_2_BEDR2,PNT,Paint the walls - one coat,477.33,$556.50 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$89.23 ,442,$89.23 ,UNIT_2_BEDR2,WTR,Tear out baseboard- up to Cat 3,59.67,$89.23 ,BASEB,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,50%,$168.48 ,443,$336.95 ,UNIT_2_BEDR2,FNC,"Baseboard - 3 1/4""",59.67,$300.45 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$62.75 ,444,$125.50 ,UNIT_2_BEDR2,PNT,Paint baseboard - two coats,59.67,$107.72 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$77.83 ,445,$155.66 ,UNIT_2_BEDR2,FNC,Base shoe,59.67,$140.66 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$34.72 ,446,$69.44 ,UNIT_2_BEDR2,PNT,Seal & paint base shoe or quarter round,59.67,$59.60 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$235.21 ,447,$470.41 ,UNIT_2_BEDR2,DOR,Interior door unit,1,$415.66 ,AV,11/25/24,25.7.31 | 11:14AM,RO Owner completed. Remove only,,
$0.00 ,50%,$55.80 ,448,$111.59 ,UNIT_2_BEDR2,PNT,Paint door slab only - 2 coats (per side),2,$95.78 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$46.42 ,449,$92.83 ,UNIT_2_BEDR2,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$39.24 ,450,$78.48 ,UNIT_2_BEDR2,FNH,Door knob - interior,1,$71.36 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
"$3,054.34 ",ACV,$763.59 ,451,"$3,817.93 ",UNIT_2_BEDR2,WDP,8-0 6-8 fiberglass sliding patio door,1,"$3,350.38 ",8F,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$198.01 ,452,$396.02 ,UNIT_2_BEDR2,DOR,"Screen door - metal - 30"" - 36"" full scrn - Standard grade",2,$365.30 ,SCRNM-,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$210.72 ,453,$421.44 ,UNIT_2_BEDR2,WDT,"Window blind - aluminum - 1"" - 42.1 to 56 SF - High grade",1,$371.07 ,BLA1X>+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$458.17 ,"3,957",$458.17 ,UNIT_2_BEDR2,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$313.20 ,"3,958",$313.20 ,UNIT_2_BEDR2,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,"$1,902.28 ",456,"$1,902.28 ",UNIT_2_LIVI,WTR,Muck-out/Flood loss cleanup - Heavy,306.03,"$1,902.28 ",MUCK+,6/19/25,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,100%,$206.95 ,457,$206.95 ,UNIT_2_LIVI,WTR,Apply anti-microbial agent to the floor,306.03,$206.95 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,50%,$776.89 ,458,"$1,553.78 ",UNIT_2_LIVI,TIL,Regrout tile,306.03,"$1,553.78 ",GROUT,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$190.08 ,459,$380.16 ,UNIT_2_LIVI,TIL,Tile/stone sealer,306.03,$380.16 ,SEALS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$178.73 ,460,$178.73 ,UNIT_2_LIVI,WTR,Apply anti-microbial agent to part of the walls,264.33,$178.73 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$352.54 ,461,$352.54 ,UNIT_2_LIVI,CLN,Clean stud wall,264.33,$352.54 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$432.16 ,462,$432.16 ,UNIT_2_LIVI,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",66.08,$432.16 ,DRYN4,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,100%,"$1,455.56 ",463,"$1,455.56 ",UNIT_2_LIVI,DRY,"1/2"" - drywall per LF - up to 4' tall",66.08,"$1,273.62 ",LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$233.17 ,464,$466.33 ,UNIT_2_LIVI,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,330.42,$400.27 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$30.17 ,465,$60.33 ,UNIT_2_LIVI,PNT,Scrape part of the walls & prep for paint,66.08,$60.33 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$672.51 ,466,$672.51 ,UNIT_2_LIVI,DRY,Texture drywall - heavy hand texture,330.42,$588.44 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$359.04 ,467,$718.08 ,UNIT_2_LIVI,PNT,Paint the walls - one coat,528.67,$616.35 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$98.82 ,468,$98.82 ,UNIT_2_LIVI,WTR,Tear out baseboard- up to Cat 3,66.08,$98.82 ,BASEB,11/24/24,25.7.31 | 11:2AM,RO Owner completed,,
$0.00 ,50%,$186.56 ,469,$373.12 ,UNIT_2_LIVI,FNC,"Baseboard - 3 1/4""",66.08,$332.70 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$69.49 ,470,$138.97 ,UNIT_2_LIVI,PNT,Paint baseboard - two coats,66.08,$119.28 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$86.20 ,471,$172.39 ,UNIT_2_LIVI,FNC,Base shoe,66.08,$155.78 ,SHOE,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$38.46 ,472,$76.91 ,UNIT_2_LIVI,PNT,Seal & paint base shoe or quarter round,66.08,$66.02 ,SHOE,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$235.21 ,473,$470.41 ,UNIT_2_LIVI,DOR,Interior door unit,1,$415.66 ,AV,11/25/24,25.7.31 | 11:14AM,RO Owner completed. Remove only,,
$0.00 ,50%,$55.80 ,474,$111.59 ,UNIT_2_LIVI,PNT,Paint door slab only - 2 coats (per side),2,$95.78 ,DOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$46.42 ,475,$92.83 ,UNIT_2_LIVI,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$39.24 ,476,$78.48 ,UNIT_2_LIVI,FNH,Door knob - interior,1,$71.36 ,DORH,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$234.98 ,477,$469.96 ,UNIT_2_LIVI,DOR,Bifold door set - Colonist - Double,1,$414.46 ,BF,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,$299.69 ,478,$374.61 ,UNIT_2_LIVI,FNC,"Door opening (jamb & casing) - 36""to60""wide - stain grade",1,$329.14 ,DOP>+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$75.66 ,479,$151.31 ,UNIT_2_LIVI,PNT,Paint bifold door set - slab only - 2 coats (per side),2,$129.88 ,BF,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$54.62 ,480,$109.23 ,UNIT_2_LIVI,PNT,Paint door/window trim & jamb - Large - 2 coats (per side),2,$93.76 ,DORT>,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,80%,$78.22 ,481,$97.78 ,UNIT_2_LIVI,FNC,Closet shelf and rod package - Detach & reset,6,$97.78 ,CLOSRS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$37.59 ,482,$75.18 ,UNIT_2_LIVI,PNT,Seal & paint closet shelving - single shelf,1,$64.54 ,CLOS,11/25/24,25.7.31 | 11:5AM,,,
"$3,054.34 ",ACV,$763.59 ,483,"$3,817.93 ",UNIT_2_LIVI,WDP,8-0 6-8 fiberglass sliding patio door,1,"$3,350.38 ",8F,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$198.01 ,484,$396.02 ,UNIT_2_LIVI,DOR,"Screen door - metal - 30"" - 36"" full scrn - Standard grade",2,$365.30 ,SCRNM-,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$210.72 ,485,$421.44 ,UNIT_2_LIVI,WDT,"Window blind - aluminum - 1"" - 42.1 to 56 SF - High grade",1,$371.07 ,BLA1X>+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$55.68 ,"3,360",$55.68 ,UNIT_2_LIVI,DRY,Additional cost to hang and finish drywall archway,1,$50.58 ,ARCADD,1/14/25,25.7.31 | 11:3AM,,,
$0.00 ,100%,$458.17 ,"3,959",$458.17 ,UNIT_2_LIVI,WTR,Dehumidifier (per 24 hr period)- 110-159 ppd - No monitor.,3,$458.17 ,DHM>>,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$313.20 ,"3,960",$313.20 ,UNIT_2_LIVI,WTR,Air mover (per 24 hour period) - No monitoring,9,$313.20 ,DRY,1/13/25,25.7.31 | 11:2AM,,,
$0.00 ,100%,$479.56 ,488,$479.56 ,UNIT_2_KITC2,WTR,Muck-out/Flood loss cleanup - Heavy,77.15,$479.56 ,MUCK+,6/19/25,25.7.31 | 11:2AM,RO Owner completed. Remove only,Install 7 ea lights.,
$0.00 ,100%,$52.17 ,489,$52.17 ,UNIT_2_KITC2,WTR,Apply anti-microbial agent to the floor,77.15,$52.17 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,50%,$195.85 ,490,$391.70 ,UNIT_2_KITC2,TIL,Regrout tile,77.15,$391.70 ,GROUT,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$47.91 ,491,$95.82 ,UNIT_2_KITC2,TIL,Tile/stone sealer,77.15,$95.82 ,SEALS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$85.34 ,492,$85.34 ,UNIT_2_KITC2,WTR,Apply anti-microbial agent to part of the walls,126.22,$85.34 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$168.34 ,493,$168.34 ,UNIT_2_KITC2,CLN,Clean stud wall,126.22,$168.34 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$201.62 ,494,$201.62 ,UNIT_2_KITC2,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",30.83,$201.62 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$679.09 ,495,$679.09 ,UNIT_2_KITC2,DRY,"1/2"" - drywall per LF - up to 4' tall",30.83,$594.20 ,LF>,11/24/24,25.7.31 | 11:3AM,,,Add 2 ea. sheetrock patches to POL for ceiling with texture and paint due to plumbing and electrial.
$0.00 ,50%,$111.33 ,496,$222.66 ,UNIT_2_KITC2,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,157.78,$191.12 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,50%,$14.41 ,497,$28.81 ,UNIT_2_KITC2,PNT,Scrape part of the walls & prep for paint,31.56,$28.81 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$321.13 ,498,$321.13 ,UNIT_2_KITC2,DRY,Texture drywall - heavy hand texture,157.78,$280.99 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,50%,$171.44 ,499,$342.87 ,UNIT_2_KITC2,PNT,Paint the walls - one coat,252.44,$294.30 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,75%,"$6,438.89 ",500,"$8,585.18 ",UNIT_2_KITC2,CAB,Cabinetry - lower (base) units - High grade,20,"$7,683.17 ",LOW+,11/25/24,25.7.31 | 11:14AM,,Charge owner for 7.75 LF of upper cabinets. Quote of 1962.59 was sent to owner.,
$0.00 ,50%,"$1,639.05 ",501,"$3,278.09 ",UNIT_2_KITC2,CAB,Countertop - Granite or Marble,32,"$2,955.24 ",CTGM,11/25/24,25.7.31 | 11:14AM,,,POL Granite should be 68 sq ft. Need to add 36 sq ft.
$0.00 ,50%,$156.02 ,502,$312.03 ,UNIT_2_KITC2,CAB,Cabinetry - appliance surround-,1,$286.06 ,AG++,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$216.71 ,503,$433.42 ,UNIT_2_KITC2,TIL,Ceramic/porcelain tile,20,$393.96 ,AV,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$102.14 ,504,$204.28 ,UNIT_2_KITC2,TIL,"1/2"" foam backer board - wall - sealed with thinset",20,$185.69 ,BFB1/2T,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$185.52 ,505,$371.04 ,UNIT_2_KITC2,TIL,Add-on for tile backsplash installation,20,$371.04 ,CTTLB,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$265.22 ,506,$265.22 ,UNIT_2_KITC2,PLM,Kitchen Sink - single basin,1,$265.22 ,SNKKS,11/25/24,25.7.31 | 11:3AM,,New facuet install labor only,
$0.00 ,100%,$119.69 ,507,$119.69 ,UNIT_2_KITC2,PLM,P-trap assembly - ABS (plastic),1,$108.12 ,PTRAP,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$43.40 ,508,$43.40 ,UNIT_2_KITC2,PLM,Water supply line,1,$38.95 ,SL1,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$145.33 ,509,$145.33 ,UNIT_2_KITC2,PLM,Angle stop valve,2,$131.46 ,STOP,11/25/24,25.7.31 | 11:3AM,,,
$0.00 ,80%,"$1,092.23 ",510,"$1,365.29 ",UNIT_2_KITC2,APP,Dishwasher - High grade,1,"$1,244.38 ",DW+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,"$1,963.88 ",511,"$2,454.85 ",UNIT_2_KITC2,APP,Range - slide in - electric - High grade,1,"$2,233.00 ",RGS+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,"$2,361.68 ",512,"$2,952.10 ",UNIT_2_KITC2,APP,Refrigerator - side by side - 25 to 30 cf - High grade,1,"$2,687.42 ",RFS24+,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,80%,$346.91 ,513,$433.64 ,UNIT_2_KITC2,APP,Garbage disposal / disposer,1,$397.85 ,GD,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,50%,$34.93 ,"3,362",$69.86 ,UNIT_2_KITC2,FNC,"Baseboard - 3 1/4""",10.83,$64.23 ,B3,1/14/25,25.7.31 | 11:14AM,,,
$0.00 ,50%,$11.38 ,"3,947",$22.76 ,UNIT_2_KITC2,PNT,Paint baseboard - two coats,10.83,$19.54 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,"$1,534.92 ",517,"$1,534.92 ",UNIT_3_LIVI,WTR,Muck-out/Flood loss cleanup - Heavy,246.93,"$1,534.92 ",MUCK+,6/19/25,25.7.31 | 11:2AM,,Install 1 ea Ceiling fan Labor only,
$0.00 ,100%,$166.98 ,518,$166.98 ,UNIT_3_LIVI,WTR,Apply anti-microbial agent to the floor,246.93,$166.98 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,"$1,253.73 ",519,"$1,253.73 ",UNIT_3_LIVI,TIL,Regrout tile,246.93,"$1,253.73 ",GROUT,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$306.74 ,520,$306.74 ,UNIT_3_LIVI,TIL,Tile/stone sealer,246.93,$306.74 ,SEALS,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$149.23 ,521,$149.23 ,UNIT_3_LIVI,WTR,Apply anti-microbial agent to part of the walls,220.67,$149.23 ,GRM,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$294.29 ,522,$294.29 ,UNIT_3_LIVI,CLN,Clean stud wall,220.67,$294.29 ,STD,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$360.82 ,523,$360.82 ,UNIT_3_LIVI,WTR,"Tear out wet drywall, no bagging, per LF - up to 4' tall",55.17,$360.82 ,DRYN4,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,"$1,215.24 ",524,"$1,215.24 ",UNIT_3_LIVI,DRY,"1/2"" - drywall per LF - up to 4' tall",55.17,"$1,063.34 ",LF>,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$389.28 ,525,$389.28 ,UNIT_3_LIVI,PNT,Seal/prime (1 coat) then paint (1 coat) part of the walls,275.83,$334.14 ,SP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$50.35 ,526,$50.35 ,UNIT_3_LIVI,PNT,Scrape part of the walls & prep for paint,55.17,$50.35 ,SCRP,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$561.39 ,527,$561.39 ,UNIT_3_LIVI,DRY,Texture drywall - heavy hand texture,275.83,$491.21 ,TEX+,11/24/24,25.7.31 | 11:3AM,,,
$0.00 ,100%,$599.46 ,528,$599.46 ,UNIT_3_LIVI,PNT,Paint the walls - one coat,441.33,$514.54 ,P,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$82.51 ,529,$82.51 ,UNIT_3_LIVI,WTR,Tear out baseboard- up to Cat 3,55.17,$82.51 ,BASEB,11/24/24,25.7.31 | 11:2AM,,,
$0.00 ,100%,$311.53 ,530,$311.53 ,UNIT_3_LIVI,FNC,"Baseboard - 3 1/4""",55.17,$277.78 ,B3,11/24/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$116.04 ,531,$116.04 ,UNIT_3_LIVI,PNT,Paint baseboard - two coats,55.17,$99.60 ,B2,11/24/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$266.98 ,533,$266.98 ,UNIT_3_LIVI,FNC,"Door opening (jamb & casing) - 32""to36""wide - paint grade",1,$234.96 ,DOP,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$133.11 ,534,$133.11 ,UNIT_3_LIVI,PNT,Prime & paint door slab only - exterior (per side),2,$114.25 ,XDOR,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$92.83 ,535,$92.83 ,UNIT_3_LIVI,PNT,Paint door/window trim & jamb - 2 coats (per side),2,$79.68 ,DORT,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$455.92 ,537,$455.92 ,UNIT_3_LIVI,DOR,Storm door assembly,1,$402.73 ,STRMD,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$65.11 ,538,$65.11 ,UNIT_3_LIVI,PNT,Prime & paint/finish storm door assembly,1,$55.89 ,STRMD,11/25/24,25.7.31 | 11:5AM,,,
$530.10 ,ACV,$132.53 ,539,$662.63 ,UNIT_3_LIVI,WDA,"Aluminum window, single hung 9-12 sf",2,$589.54 ,S,11/25/24,25.12.2 | 7:50AM,RO Did not replace,,
$0.00 ,100%,$200.32 ,540,$200.32 ,UNIT_3_LIVI,FNC,Window trim set (casing & stop),20,$183.56 ,WOP,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$109.23 ,541,$109.23 ,UNIT_3_LIVI,PNT,Paint door/window trim & jamb - Large - 2 coats (per side),2,$93.76 ,DORT>,11/25/24,25.7.31 | 11:5AM,,,
$0.00 ,100%,$34.26 ,542,$34.26 ,UNIT_3_LIVI,FNC,Window sill,6,$31.77 ,SILL,11/25/24,25.7.31 | 11:14AM,,,
$0.00 ,100%,$22.33 ,543,$22.33 ,UNIT_3_LIVI,PNT,Seal & paint window sill,6,$19.91 ,SILL,11/25/24,25.7.31 | 11:5AM,,,
