#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Coverage,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
"1,799",,,Clean dress - fancy - lined - beaded - Full service,0,Average,1,98.05,0,98.05,,11.41,129.08,0,Percent,0,Yes,129.08,Yes,No,CDC,DRESLB+,PAULGAGN,,11/2/20
"1,800",,,Clean dress - long - lined - flair - Drop off,0,Average,1,22.93,0,22.93,,2.66,30.17,0,Percent,0,Yes,30.17,Yes,No,CDC,DRESLL-,PAULGAGN,,11/2/20
"1,801",,,Clean dress - long - lined - flair - Full service,0,Average,1,33.6,0,33.6,,3.91,44.23,0,Percent,0,Yes,44.23,Yes,No,CDC,DRESLLF,PAULGAGN,,11/2/20
"1,802",,,Clean dress - long - Full service,0,Average,1,26.14,0,26.14,,3.04,34.4,0,Percent,0,Yes,34.4,Yes,No,CDC,DRESLN,PAULGAGN,,11/2/20
"1,803",,,Clean dress - long - Drop off,0,Average,1,22.76,0,22.76,,2.65,29.97,0,Percent,0,Yes,29.97,Yes,No,CDC,DRESLN-,PAULGAGN,,11/2/20
"1,804",,,Clean dress - long - two piece - Full service,0,Average,1,30.59,0,30.59,,3.56,40.27,0,Percent,0,Yes,40.27,Yes,No,CDC,DRESLN2,PAULGAGN,,11/2/20
"1,805",,,Clean dress - long - velvet - Full service,0,Average,1,34.38,0,34.38,,4,45.26,0,Percent,0,Yes,45.26,Yes,No,CDC,DRESLV,PAULGAGN,,11/2/20
"1,806",,,Clean dress - long - velvet - Drop off,0,Average,1,23.11,0,23.11,,2.69,30.42,0,Percent,0,Yes,30.42,Yes,No,CDC,DRESLV-,PAULGAGN,,11/2/20
"1,807",,,Clean dress - long - wool silk linen - Full service,0,Average,1,34.46,0,34.46,,4.01,45.37,0,Percent,0,Yes,45.37,Yes,No,CDC,DRESLW,PAULGAGN,,11/2/20
"1,808",,,Clean dress - long - wool silk linen - Drop off,0,Average,1,28.59,0,28.59,,3.32,37.63,0,Percent,0,Yes,37.63,Yes,No,CDC,DRESLW-,PAULGAGN,,11/2/20
"1,809",,,Clean dress - mumu - Full service,0,Average,1,19.16,0,19.16,,2.23,25.23,0,Percent,0,Yes,25.23,Yes,No,CDC,DRESM,PAULGAGN,,11/2/20
"1,810",,,Clean dress - mumu - Drop off,0,Average,1,15.9,0,15.9,,1.85,20.93,0,Percent,0,Yes,20.93,Yes,No,CDC,DRESM-,PAULGAGN,,11/2/20
"1,811",,,Clean dress - silk - Full service,0,Average,1,24.21,0,24.21,,2.82,31.87,0,Percent,0,Yes,31.87,Yes,No,CDC,DRESS,PAULGAGN,,11/2/20
"1,812",,,Clean dress - silk - Drop off,0,Average,1,20.78,0,20.78,,2.41,27.35,0,Percent,0,Yes,27.35,Yes,No,CDC,DRESS-,PAULGAGN,,11/2/20
"1,813",,,Clean dress - silk - long - Full service,0,Average,1,32.61,0,32.61,,3.79,42.92,0,Percent,0,Yes,42.92,Yes,No,CDC,DRESSL,PAULGAGN,,11/2/20
"1,814",,,Clean dress - silk - long - Drop off,0,Average,1,21.83,0,21.83,,2.54,28.73,0,Percent,0,Yes,28.73,Yes,No,CDC,DRESSL-,PAULGAGN,,11/2/20
"1,815",,,Clean dress - sweater - Full service,0,Average,1,22.97,0,22.97,,2.68,30.25,0,Percent,0,Yes,30.25,Yes,No,CDC,DRESSW,PAULGAGN,,11/2/20
"1,816",,,Clean dress - sweater - Drop off,0,Average,1,19.06,0,19.06,,2.22,25.1,0,Percent,0,Yes,25.1,Yes,No,CDC,DRESSW-,PAULGAGN,,11/2/20
"1,817",,,Clean dress - velvet - velour - Full service,0,Average,1,31.77,0,31.77,,3.7,41.83,0,Percent,0,Yes,41.83,Yes,No,CDC,DRESV,PAULGAGN,,11/2/20
"1,818",,,Clean dress - velvet - velour - Drop off,0,Average,1,26.37,0,26.37,,3.07,34.72,0,Percent,0,Yes,34.72,Yes,No,CDC,DRESV-,PAULGAGN,,11/2/20
"1,819",,,Clean dress - wool - silk - linen - lined - Full service,0,Average,1,30.25,0,30.25,,3.52,39.83,0,Percent,0,Yes,39.83,Yes,No,CDC,DRESWL,PAULGAGN,,11/2/20
"1,820",,,Clean dress - wool - silk - linen - lined - Drop off,0,Average,1,25.11,0,25.11,,2.92,33.05,0,Percent,0,Yes,33.05,Yes,No,CDC,DRESWL-,PAULGAGN,,11/2/20
"1,821",,,Clean bedding - duvet cover - Full service,0,Average,1,37.46,0,37.46,,4.36,49.32,0,Percent,0,Yes,49.32,Yes,No,CDC,DUV,PAULGAGN,,11/2/20
"1,822",,,Clean bedding - duvet cover - Drop off,0,Average,1,28.69,0,28.69,,3.34,37.77,0,Percent,0,Yes,37.77,Yes,No,CDC,DUV-,PAULGAGN,,11/2/20
"1,823",,,Clean bedding - duvet cover - large - Full service,0,Average,1,41.32,0,41.32,,4.81,54.39,0,Percent,0,Yes,54.39,Yes,No,CDC,DUV>,PAULGAGN,,11/2/20
"1,824",,,Clean bedding - duvet cover - large - Drop off,0,Average,1,39.35,0,39.35,,4.57,51.8,0,Percent,0,Yes,51.8,Yes,No,CDC,DUV>-,PAULGAGN,,11/2/20
"1,825",,,Clean earmuffs - Full service,0,Average,1,2.77,0,2.77,,0.32,3.65,0,Percent,0,Yes,3.65,Yes,No,CDC,EAR,PAULGAGN,,11/2/20
"1,826",,,Clean earmuffs - Drop off,0,Average,1,2.3,0,2.3,,0.26,3.02,0,Percent,0,Yes,3.02,Yes,No,CDC,EAR-,PAULGAGN,,11/2/20
"1,827",,,Clean epaulets - Full service,0,Average,1,1.09,0,1.09,,0.13,1.44,0,Percent,0,Yes,1.44,Yes,No,CDC,EPAUL,PAULGAGN,,11/2/20
"1,828",,,Clean epaulets - Drop off,0,Average,1,0.9,0,0.9,,0.11,1.19,0,Percent,0,Yes,1.19,Yes,No,CDC,EPAUL-,PAULGAGN,,11/2/20
"1,829",,,Emergency service call - after business hours,0,Average,1,320,0,320,,37.22,421.22,0,Percent,0,Yes,421.22,Yes,No,CDC,ESRV,PAULGAGN,,11/2/20
"1,830",,,Clean fabric - per width - Full service,0,Average,1,1.63,0,1.63,,0.19,2.14,0,Percent,0,Yes,2.14,Yes,No,CDC,FABRIC,PAULGAGN,,11/2/20
"1,831",,,Clean fabric - per width - Drop off,0,Average,1,1.47,0,1.47,,0.17,1.94,0,Percent,0,Yes,1.94,Yes,No,CDC,FABRIC-,PAULGAGN,,11/2/20
"1,832",,,Clean flag - Full service,0,Average,1,6.77,0,6.77,,0.79,8.92,0,Percent,0,Yes,8.92,Yes,No,CDC,FLAG,PAULGAGN,,11/2/20
"1,833",,,Clean flag - Drop off,0,Average,1,5.69,0,5.69,,0.66,7.49,0,Percent,0,Yes,7.49,Yes,No,CDC,FLAG-,PAULGAGN,,11/2/20
"1,834",,,Clean flag - large - Full service,0,Average,1,14.38,0,14.38,,1.67,18.93,0,Percent,0,Yes,18.93,Yes,No,CDC,FLAG>,PAULGAGN,,11/2/20
"1,835",,,Clean flag - large - Drop off,0,Average,1,12.95,0,12.95,,1.51,17.06,0,Percent,0,Yes,17.06,Yes,No,CDC,FLAG>-,PAULGAGN,,11/2/20
"1,836",,,Clean gloves - Full service,0,Average,1,8.26,0,8.26,,0.96,10.88,0,Percent,0,Yes,10.88,Yes,No,CDC,GLOV,PAULGAGN,,11/2/20
"1,837",,,Clean gloves - Drop off,0,Average,1,5.55,0,5.55,,0.65,7.32,0,Percent,0,Yes,7.32,Yes,No,CDC,GLOV-,PAULGAGN,,11/2/20
"1,838",,,Clean gloves - leather or suede - Full service,0,Average,1,17.49,0,17.49,,2.04,23.03,0,Percent,0,Yes,23.03,Yes,No,CDC,GLOVL,PAULGAGN,,11/2/20
"1,839",,,Clean gloves - leather or suede - Drop off,0,Average,1,14.52,0,14.52,,1.69,19.11,0,Percent,0,Yes,19.11,Yes,No,CDC,GLOVL-,PAULGAGN,,11/2/20
"1,840",,,Clean gown - ceremony - graduation - Full service,0,Average,1,18.88,0,18.88,,2.2,24.86,0,Percent,0,Yes,24.86,Yes,No,CDC,GOWNC,PAULGAGN,,11/2/20
"1,841",,,Clean gown - ceremony - graduation - Drop off,0,Average,1,15.67,0,15.67,,1.82,20.63,0,Percent,0,Yes,20.63,Yes,No,CDC,GOWNC-,PAULGAGN,,11/2/20
"1,842",,,Clean gown - wedding - Full service,0,Average,1,287.57,0,287.57,,33.46,378.55,0,Percent,0,Yes,378.55,Yes,No,CDC,GOWNW,PAULGAGN,,11/2/20
"1,843",,,Clean gown - wedding - Drop off,0,Average,1,238.68,0,238.68,,27.77,314.19,0,Percent,0,Yes,314.19,Yes,No,CDC,GOWNW-,PAULGAGN,,11/2/20
"1,844",,,Clean handkerchief - Full service,0,Average,1,1.42,0,1.42,,0.17,1.87,0,Percent,0,Yes,1.87,Yes,No,CDC,HAND,PAULGAGN,,11/2/20
"1,845",,,Clean handkerchief - Drop off,0,Average,1,1.28,0,1.28,,0.14,1.68,0,Percent,0,Yes,1.68,Yes,No,CDC,HAND-,PAULGAGN,,11/2/20
"1,846",,,Clean handkerchief - silk - Full service,0,Average,1,3.4,0,3.4,,0.4,4.48,0,Percent,0,Yes,4.48,Yes,No,CDC,HANDS,PAULGAGN,,11/2/20
"1,847",,,Clean handkerchief - silk - Drop off,0,Average,1,3.06,0,3.06,,0.36,4.04,0,Percent,0,Yes,4.04,Yes,No,CDC,HANDS-,PAULGAGN,,11/2/20
"1,848",,,Clean hanger - padded - Full service,0,Average,1,3.12,0,3.12,,0.36,4.1,0,Percent,0,Yes,4.1,Yes,No,CDC,HANGP,PAULGAGN,,11/2/20
"1,849",,,Clean hanger - padded - Drop off,0,Average,1,2.8,0,2.8,,0.32,3.68,0,Percent,0,Yes,3.68,Yes,No,CDC,HANGP-,PAULGAGN,,11/2/20
"1,850",,,Clean hat - Full service,0,Average,1,17.12,0,17.12,,1.99,22.53,0,Percent,0,Yes,22.53,Yes,No,CDC,HAT,PAULGAGN,,11/2/20
"1,851",,,Clean hat - Drop off,0,Average,1,14.22,0,14.22,,1.66,18.72,0,Percent,0,Yes,18.72,Yes,No,CDC,HAT-,PAULGAGN,,11/2/20
"1,852",,,Clean hat - dress - Full service,0,Average,1,22.78,0,22.78,,2.65,29.99,0,Percent,0,Yes,29.99,Yes,No,CDC,HATD,PAULGAGN,,11/2/20
"1,853",,,Clean hat - dress - Drop off,0,Average,1,18.92,0,18.92,,2.2,24.9,0,Percent,0,Yes,24.9,Yes,No,CDC,HATD-,PAULGAGN,,11/2/20
"1,854",,,Clean hat - deco - Full service,0,Average,1,23.47,0,23.47,,2.74,30.91,0,Percent,0,Yes,30.91,Yes,No,CDC,HATDC,PAULGAGN,,11/2/20
"1,855",,,Clean hat - deco - Drop off,0,Average,1,19.48,0,19.48,,2.27,25.65,0,Percent,0,Yes,25.65,Yes,No,CDC,HATDC-,PAULGAGN,,11/2/20
"1,856",,,Clean hat - fur - Full service,0,Average,1,53.13,0,53.13,,6.18,69.93,0,Percent,0,Yes,69.93,Yes,No,CDC,HATF,PAULGAGN,,11/2/20
"1,857",,,Clean hat - fur - Drop off,0,Average,1,44.1,0,44.1,,5.14,58.06,0,Percent,0,Yes,58.06,Yes,No,CDC,HATF-,PAULGAGN,,11/2/20
"1,858",,,Clean hat - leather or suede - Full service,0,Average,1,47.87,0,47.87,,5.57,63.02,0,Percent,0,Yes,63.02,Yes,No,CDC,HATL,PAULGAGN,,11/2/20
"1,859",,,Clean hat - leather or suede - Drop off,0,Average,1,39.73,0,39.73,,4.62,52.29,0,Percent,0,Yes,52.29,Yes,No,CDC,HATL-,PAULGAGN,,11/2/20
"1,860",,,Clean hat - wool - Full service,0,Average,1,18.01,0,18.01,,2.1,23.71,0,Percent,0,Yes,23.71,Yes,No,CDC,HATW,PAULGAGN,,11/2/20
"1,861",,,Clean hat - wool - Drop off,0,Average,1,16.35,0,16.35,,1.91,21.54,0,Percent,0,Yes,21.54,Yes,No,CDC,HATW-,PAULGAGN,,11/2/20
"1,862",,,Clean halter - Full service,0,Average,1,2.17,0,2.17,,0.25,2.86,0,Percent,0,Yes,2.86,Yes,No,CDC,HLTR,PAULGAGN,,11/2/20
"1,863",,,Clean halter - Drop off,0,Average,1,1.8,0,1.8,,0.2,2.36,0,Percent,0,Yes,2.36,Yes,No,CDC,HLTR-,PAULGAGN,,11/2/20
"1,864",,,Clean hood - Full service,0,Average,1,3.86,0,3.86,,0.44,5.08,0,Percent,0,Yes,5.08,Yes,No,CDC,HOOD,PAULGAGN,,11/2/20
"1,865",,,Clean hood - Drop off,0,Average,1,3.2,0,3.2,,0.37,4.21,0,Percent,0,Yes,4.21,Yes,No,CDC,HOOD-,PAULGAGN,,11/2/20
"1,866",,,Clean jacket - Full service,0,Average,1,15.75,0,15.75,,1.84,20.75,0,Percent,0,Yes,20.75,Yes,No,CDC,JCK,PAULGAGN,,11/2/20
"1,867",,,Clean jacket - Drop off,0,Average,1,8.75,0,8.75,,1.02,11.53,0,Percent,0,Yes,11.53,Yes,No,CDC,JCK-,PAULGAGN,,11/2/20
"1,868",,,Clean jacket - heavy weight - Full service,0,Average,1,20.38,0,20.38,,2.38,26.84,0,Percent,0,Yes,26.84,Yes,No,CDC,JCK+,PAULGAGN,,11/2/20
"1,869",,,Clean jacket - heavy weight - Drop off,0,Average,1,12.49,0,12.49,,1.45,16.44,0,Percent,0,Yes,16.44,Yes,No,CDC,JCK+-,PAULGAGN,,11/2/20
"1,870",,,Clean jacket - corduroy - Full service,0,Average,1,13.62,0,13.62,,1.58,17.92,0,Percent,0,Yes,17.92,Yes,No,CDC,JCKC,PAULGAGN,,11/2/20
"1,871",,,Clean jacket - corduroy - Drop off,0,Average,1,9.27,0,9.27,,1.08,12.21,0,Percent,0,Yes,12.21,Yes,No,CDC,JCKC-,PAULGAGN,,11/2/20
"1,872",,,Clean jacket - child - Full service,0,Average,1,8.79,0,8.79,,1.02,11.57,0,Percent,0,Yes,11.57,Yes,No,CDC,JCKCH,PAULGAGN,,11/2/20
"1,873",,,Clean jacket - child - Drop off,0,Average,1,6.13,0,6.13,,0.71,8.06,0,Percent,0,Yes,8.06,Yes,No,CDC,JCKCH-,PAULGAGN,,11/2/20
"1,874",,,Clean jacket - down - Full service,0,Average,1,22.43,0,22.43,,2.6,29.51,0,Percent,0,Yes,29.51,Yes,No,CDC,JCKD,PAULGAGN,,11/2/20
"1,875",,,Clean jacket - down - Drop off,0,Average,1,15.26,0,15.26,,1.78,20.1,0,Percent,0,Yes,20.1,Yes,No,CDC,JCKD-,PAULGAGN,,11/2/20
"1,876",,,Clean jacket - deco - Full service,0,Average,1,35.49,0,35.49,,4.13,46.72,0,Percent,0,Yes,46.72,Yes,No,CDC,JCKDC,PAULGAGN,,11/2/20
"1,877",,,Clean jacket - deco - Drop off,0,Average,1,24.14,0,24.14,,2.81,31.77,0,Percent,0,Yes,31.77,Yes,No,CDC,JCKDC-,PAULGAGN,,11/2/20
"1,878",,,Clean jacket - fur - Full service,0,Average,1,123.83,0,123.83,,14.41,163,0,Percent,0,Yes,163,Yes,No,CDC,JCKF,PAULGAGN,,11/2/20
"1,879",,,Clean jacket - fur - Drop off,0,Average,1,76.6,0,76.6,,8.92,100.84,0,Percent,0,Yes,100.84,Yes,No,CDC,JCKF-,PAULGAGN,,11/2/20
"1,880",,,Clean jacket - infant - Full service,0,Average,1,6.11,0,6.11,,0.71,8.04,0,Percent,0,Yes,8.04,Yes,No,CDC,JCKI,PAULGAGN,,11/2/20
"1,881",,,Clean jacket - infant - Drop off,0,Average,1,4.15,0,4.15,,0.48,5.47,0,Percent,0,Yes,5.47,Yes,No,CDC,JCKI-,PAULGAGN,,11/2/20
"1,882",,,Clean jacket - leather suede - heavy - Full service,0,Average,1,93.72,0,93.72,,10.91,123.37,0,Percent,0,Yes,123.37,Yes,No,CDC,JCKL+,PAULGAGN,,11/2/20
"1,883",,,Clean jacket - leather suede - heavy - Drop off,0,Average,1,63.73,0,63.73,,7.42,83.89,0,Percent,0,Yes,83.89,Yes,No,CDC,JCKL+-,PAULGAGN,,11/2/20
"1,884",,,Clean jacket - w/leather trim - Full service,0,Average,1,60.7,0,60.7,,7.06,79.9,0,Percent,0,Yes,79.9,Yes,No,CDC,JCKLE,PAULGAGN,,11/2/20
"1,885",,,Clean jacket - w/leather trim - Drop off,0,Average,1,41.27,0,41.27,,4.8,54.33,0,Percent,0,Yes,54.33,Yes,No,CDC,JCKLE-,PAULGAGN,,11/2/20
"1,886",,,Clean jacket lining - Full service,0,Average,1,6.15,0,6.15,,0.72,8.11,0,Percent,0,Yes,8.11,Yes,No,CDC,JCKLN,PAULGAGN,,11/2/20
"1,887",,,Clean jacket lining - Drop off,0,Average,1,4.19,0,4.19,,0.49,5.52,0,Percent,0,Yes,5.52,Yes,No,CDC,JCKLN-,PAULGAGN,,11/2/20
"1,888",,,Clean jacket - light weight - Full service,0,Average,1,10.51,0,10.51,,1.22,13.83,0,Percent,0,Yes,13.83,Yes,No,CDC,JCKLTW,PAULGAGN,,11/2/20
"1,889",,,Clean jacket - light weight - Drop off,0,Average,1,7.15,0,7.15,,0.83,9.42,0,Percent,0,Yes,9.42,Yes,No,CDC,JCKLTW-,PAULGAGN,,11/2/20
"1,890",,,Clean jacket - rain - Full service,0,Average,1,12.87,0,12.87,,1.5,16.95,0,Percent,0,Yes,16.95,Yes,No,CDC,JCKR,PAULGAGN,,11/2/20
"1,891",,,Clean jacket - rain - Drop off,0,Average,1,8.76,0,8.76,,1.02,11.54,0,Percent,0,Yes,11.54,Yes,No,CDC,JCKR-,PAULGAGN,,11/2/20
"1,892",,,Clean jacket - sweater - Full service,0,Average,1,22.13,0,22.13,,2.58,29.13,0,Percent,0,Yes,29.13,Yes,No,CDC,JCKS,PAULGAGN,,11/2/20
"1,893",,,Clean jacket - sweater - Drop off,0,Average,1,15.05,0,15.05,,1.75,19.82,0,Percent,0,Yes,19.82,Yes,No,CDC,JCKS-,PAULGAGN,,11/2/20
"1,894",,,Clean jacket - ski - Full service,0,Average,1,15.76,0,15.76,,1.84,20.76,0,Percent,0,Yes,20.76,Yes,No,CDC,JCKSK,PAULGAGN,,11/2/20
"1,895",,,Clean jacket - ski - Drop off,0,Average,1,10.72,0,10.72,,1.25,14.11,0,Percent,0,Yes,14.11,Yes,No,CDC,JCKSK-,PAULGAGN,,11/2/20
"1,896",,,Clean jacket - velvet - Full service,0,Average,1,16.7,0,16.7,,1.94,21.98,0,Percent,0,Yes,21.98,Yes,No,CDC,JCKV,PAULGAGN,,11/2/20
"1,897",,,Clean jacket - velvet - Drop off,0,Average,1,11.36,0,11.36,,1.32,14.96,0,Percent,0,Yes,14.96,Yes,No,CDC,JCKV-,PAULGAGN,,11/2/20
"1,898",,,Clean jacket - vest - Full service,0,Average,1,6.8,0,6.8,,0.79,8.95,0,Percent,0,Yes,8.95,Yes,No,CDC,JCKVS,PAULGAGN,,11/2/20
"1,899",,,Clean jacket - vest - Drop off,0,Average,1,4.62,0,4.62,,0.54,6.08,0,Percent,0,Yes,6.08,Yes,No,CDC,JCKVS-,PAULGAGN,,11/2/20
"1,900",,,Clean jacket - vest - down - Full service,0,Average,1,21.48,0,21.48,,2.5,28.28,0,Percent,0,Yes,28.28,Yes,No,CDC,JCKVSD,PAULGAGN,,11/2/20
"1,901",,,Clean jacket - vest - down - Drop off,0,Average,1,14.61,0,14.61,,1.7,19.23,0,Percent,0,Yes,19.23,Yes,No,CDC,JCKVSD-,PAULGAGN,,11/2/20
"1,902",,,Clean jacket - vinyl - Full service,0,Average,1,22.36,0,22.36,,2.6,29.44,0,Percent,0,Yes,29.44,Yes,No,CDC,JCKVSV,PAULGAGN,,11/2/20
"1,903",,,Clean jacket - vinyl - Drop off,0,Average,1,15.2,0,15.2,,1.76,20,0,Percent,0,Yes,20,Yes,No,CDC,JCKVSV-,PAULGAGN,,11/2/20
"1,904",,,Clean jacket - leather or suede - Full service,0,Average,1,98.79,0,98.79,,11.5,130.05,0,Percent,0,Yes,130.05,Yes,No,CDC,JCL,PAULGAGN,,11/2/20
"1,905",,,Clean jacket - leather or suede - Drop off,0,Average,1,55.93,0,55.93,,6.5,73.61,0,Percent,0,Yes,73.61,Yes,No,CDC,JCL-,PAULGAGN,,11/2/20
"1,906",,,Clean jogging suit - Full service,0,Average,1,11.43,0,11.43,,1.33,15.04,0,Percent,0,Yes,15.04,Yes,No,CDC,JOG,PAULGAGN,,11/2/20
"1,907",,,Clean jogging suit - Drop off,0,Average,1,9.49,0,9.49,,1.1,12.49,0,Percent,0,Yes,12.49,Yes,No,CDC,JOG-,PAULGAGN,,11/2/20
"1,908",,,Clean jump suit - Full service,0,Average,1,21.15,0,21.15,,2.46,27.85,0,Percent,0,Yes,27.85,Yes,No,CDC,JUMP,PAULGAGN,,11/2/20
"1,909",,,Clean jump suit - Drop off,0,Average,1,14.82,0,14.82,,1.73,19.51,0,Percent,0,Yes,19.51,Yes,No,CDC,JUMP-,PAULGAGN,,11/2/20
"1,910",,,Clean jump suit - child - Full service,0,Average,1,10.22,0,10.22,,1.19,13.45,0,Percent,0,Yes,13.45,Yes,No,CDC,JUMPCH,PAULGAGN,,11/2/20
"1,911",,,Clean jump suit - child - Drop off,0,Average,1,8.48,0,8.48,,0.98,11.16,0,Percent,0,Yes,11.16,Yes,No,CDC,JUMPCH-,PAULGAGN,,11/2/20
"1,912",,,"On-Site Inventory, Packing, Boxing, Moving chrg - per hour",0,Average,1,57,0,57,,6.64,75.04,0,Percent,0,Yes,75.04,Yes,No,CDC,LABC,PAULGAGN,,11/2/20
"1,913",,,On-Site Evaluation and/or Supervisor/Admin - per hour,0,Average,1,80,0,80,,9.31,105.31,0,Percent,0,Yes,105.31,Yes,No,CDC,LABCS,PAULGAGN,,11/2/20
"1,914",,,Garment Restoration Technician - after hours,0,Average,1,85.58,0,85.58,,9.96,112.66,0,Percent,0,Yes,112.66,Yes,No,CDC,LABGA,PAULGAGN,,11/2/20
"1,915",,,Garment Restoration Technician - Supervisory - after hrs.,0,Average,1,120.13,0,120.13,,13.98,158.13,0,Percent,0,Yes,158.13,Yes,No,CDC,LABGSA,PAULGAGN,,11/2/20
"1,916",,,Window Treatments Installer - per hour,0,Average,1,59.28,0,59.28,,6.9,78.04,0,Percent,0,Yes,78.04,Yes,No,CDC,LABW,PAULGAGN,,11/2/20
"1,918",,,Window Treatment - General Laborer - per hour,0,Average,1,51.9,0,51.9,,6.04,68.32,0,Percent,0,Yes,68.32,Yes,No,CDC,LABWL,PAULGAGN,,11/2/20
"1,919",,,Clean leg warmers - Full service,0,Average,1,3.26,0,3.26,,0.38,4.3,0,Percent,0,Yes,4.3,Yes,No,CDC,LEGW,PAULGAGN,,11/2/20
"1,920",,,Clean leg warmers - Drop off,0,Average,1,2.7,0,2.7,,0.31,3.55,0,Percent,0,Yes,3.55,Yes,No,CDC,LEGW-,PAULGAGN,,11/2/20
"1,921",,,Clean lingerie - satin - silk - lace - Full service,0,Average,1,11.27,0,11.27,,1.31,14.84,0,Percent,0,Yes,14.84,Yes,No,CDC,LINSSL,PAULGAGN,,11/2/20
"1,922",,,Clean lingerie - satin - silk - lace - Drop off,0,Average,1,9.36,0,9.36,,1.09,12.33,0,Percent,0,Yes,12.33,Yes,No,CDC,LINSSL-,PAULGAGN,,11/2/20
"1,923",,,Clean luggage - non-leather - Full service,0,Average,1,16.54,0,16.54,,1.92,21.76,0,Percent,0,Yes,21.76,Yes,No,CDC,LUG,PAULGAGN,,11/2/20
"1,924",,,Clean luggage - non-leather - large - Full service,0,Average,1,23.33,0,23.33,,2.71,30.7,0,Percent,0,Yes,30.7,Yes,No,CDC,LUGL>,PAULGAGN,,11/2/20
"1,925",,,Clean mattress pad - Full service,0,Average,1,22.27,0,22.27,,2.59,29.32,0,Percent,0,Yes,29.32,Yes,No,CDC,MATP,PAULGAGN,,11/2/20
"1,926",,,Clean mattress pad - Drop off,0,Average,1,15.58,0,15.58,,1.81,20.51,0,Percent,0,Yes,20.51,Yes,No,CDC,MATP-,PAULGAGN,,11/2/20
"1,927",,,Clean mittens - Full service,0,Average,1,3.26,0,3.26,,0.38,4.3,0,Percent,0,Yes,4.3,Yes,No,CDC,MIT,PAULGAGN,,11/2/20
"1,928",,,Clean mittens - Drop off,0,Average,1,2.7,0,2.7,,0.31,3.55,0,Percent,0,Yes,3.55,Yes,No,CDC,MIT-,PAULGAGN,,11/2/20
"1,929",,,Garment & Soft Goods Cleaning - Labor Minimum,0,Average,1,185.01,0,185.01,,21.53,243.54,0,Percent,0,Yes,243.54,Yes,No,CDC,MN,PAULGAGN,,11/2/20
"1,930",,,Clean muffler - Full service,0,Average,1,8.14,0,8.14,,0.95,10.71,0,Percent,0,Yes,10.71,Yes,No,CDC,MUF,PAULGAGN,,11/2/20
"1,931",,,Clean muffler - Drop off,0,Average,1,6.77,0,6.77,,0.79,8.92,0,Percent,0,Yes,8.92,Yes,No,CDC,MUF-,PAULGAGN,,11/2/20
"1,932",,,Clean napkin - Full service,0,Average,1,2.1,0,2.1,,0.24,2.76,0,Percent,0,Yes,2.76,Yes,No,CDC,NAP,PAULGAGN,,11/2/20
"1,933",,,Clean napkin - Drop off,0,Average,1,1.89,0,1.89,,0.22,2.49,0,Percent,0,Yes,2.49,Yes,No,CDC,NAP-,PAULGAGN,,11/2/20
"1,934",,,Clean napkin - linen - Full service,0,Average,1,2.3,0,2.3,,0.26,3.02,0,Percent,0,Yes,3.02,Yes,No,CDC,NAPL,PAULGAGN,,11/2/20
"1,935",,,Clean napkin - linen - Drop off,0,Average,1,2.13,0,2.13,,0.25,2.8,0,Percent,0,Yes,2.8,Yes,No,CDC,NAPL-,PAULGAGN,,11/2/20
"1,936",,,Clean negligee - one piece - Full service,0,Average,1,9.77,0,9.77,,1.14,12.87,0,Percent,0,Yes,12.87,Yes,No,CDC,NEG1,PAULGAGN,,11/2/20
"1,937",,,Clean negligee - one piece - Drop off,0,Average,1,8.11,0,8.11,,0.95,10.68,0,Percent,0,Yes,10.68,Yes,No,CDC,NEG1-,PAULGAGN,,11/2/20
"1,938",,,Clean negligee - two piece - Full service,0,Average,1,13.95,0,13.95,,1.62,18.37,0,Percent,0,Yes,18.37,Yes,No,CDC,NEG2,PAULGAGN,,11/2/20
"1,939",,,Clean negligee - two piece - Drop off,0,Average,1,11.59,0,11.59,,1.34,15.25,0,Percent,0,Yes,15.25,Yes,No,CDC,NEG2-,PAULGAGN,,11/2/20
"1,940",,,Clean nightgown - Full service,0,Average,1,14.11,0,14.11,,1.64,18.57,0,Percent,0,Yes,18.57,Yes,No,CDC,NG,PAULGAGN,,11/2/20
"1,941",,,Clean nightgown - Drop off,0,Average,1,10.03,0,10.03,,1.16,13.19,0,Percent,0,Yes,13.19,Yes,No,CDC,NG-,PAULGAGN,,11/2/20
"1,942",,,Clean nightgown - satin - silk - lace - Full service,0,Average,1,15.67,0,15.67,,1.82,20.63,0,Percent,0,Yes,20.63,Yes,No,CDC,NGS,PAULGAGN,,11/2/20
"1,943",,,Clean nightgown - satin - silk - lace - Drop off,0,Average,1,14.68,0,14.68,,1.7,19.32,0,Percent,0,Yes,19.32,Yes,No,CDC,NGS-,PAULGAGN,,11/2/20
"1,944",,,Clean nightshirt - Full service,0,Average,1,7.21,0,7.21,,0.84,9.49,0,Percent,0,Yes,9.49,Yes,No,CDC,NS,PAULGAGN,,11/2/20
"1,945",,,Clean nightshirt - Drop off,0,Average,1,5.98,0,5.98,,0.7,7.88,0,Percent,0,Yes,7.88,Yes,No,CDC,NS-,PAULGAGN,,11/2/20
