#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
225,,,"Range - freestanding - double oven - gas - 48"" - Std grade",0.00,Average,1.00,"6,950.00",0.00,"6,950.00",EA,,Replace,0.00,0.00,0.00,"6,950.00",0.00,0.00,None,556.00,7506,15.00,Percent,0.00,Yes,"7,506.00",Yes,No,APM,RGDOG4-,PAULGAGN,,11/2/2020
226,,,"Range - freestanding - double oven - gas - 48"" - Hi grade",0.00,Average,1.00,"12,500.00",0.00,"12,500.00",EA,,Replace,0.00,0.00,0.00,"12,500.00",0.00,0.00,None,"1,000.00",13500,15.00,Percent,0.00,Yes,"13,500.00",Yes,No,APM,RGDOG4+,PAULGAGN,,11/2/2020
227,,,"Range - freestanding - double oven - gas - 60""",0.00,Average,1.00,"14,250.00",0.00,"14,250.00",EA,,Replace,0.00,0.00,0.00,"14,250.00",0.00,0.00,None,"1,140.00",15390,15.00,Percent,0.00,Yes,"15,390.00",Yes,No,APM,RGDOG6,PAULGAGN,,11/2/2020
228,,,"Range - freestanding - double oven - gas - 60"" - Std grade",0.00,Average,1.00,"11,775.00",0.00,"11,775.00",EA,,Replace,0.00,0.00,0.00,"11,775.00",0.00,0.00,None,942.00,12717,15.00,Percent,0.00,Yes,"12,717.00",Yes,No,APM,RGDOG6-,PAULGAGN,,11/2/2020
229,,,"Range - freestanding - double oven - gas - 60"" - Hi grade",0.00,Average,1.00,"17,349.00",0.00,"17,349.00",EA,,Replace,0.00,0.00,0.00,"17,349.00",0.00,0.00,None,"1,387.92",18736.92,15.00,Percent,0.00,Yes,"18,736.92",Yes,No,APM,RGDOG6+,PAULGAGN,,11/2/2020
230,,,Range - freestanding - gas,0.00,Average,1.00,750.00,0.00,750.00,EA,,Replace,0.00,0.00,0.00,750.00,0.00,0.00,None,60.00,810,15.00,Percent,0.00,Yes,810.00,Yes,No,APM,RGG,PAULGAGN,,11/2/2020
231,,,Range - freestanding - gas - Standard grade,0.00,Average,1.00,520.00,0.00,520.00,EA,,Replace,0.00,0.00,0.00,520.00,0.00,0.00,None,41.60,561.6,15.00,Percent,0.00,Yes,561.60,Yes,No,APM,RGG-,PAULGAGN,,11/2/2020
232,,,Range - freestanding - gas - High grade,0.00,Average,1.00,"1,650.00",0.00,"1,650.00",EA,,Replace,0.00,0.00,0.00,"1,650.00",0.00,0.00,None,132.00,1782,15.00,Percent,0.00,Yes,"1,782.00",Yes,No,APM,RGG+,PAULGAGN,,11/2/2020
233,,,Range - freestanding - gas - Premium grade,0.00,Average,1.00,"3,900.00",0.00,"3,900.00",EA,,Replace,0.00,0.00,0.00,"3,900.00",0.00,0.00,None,312.00,4212,15.00,Percent,0.00,Yes,"4,212.00",Yes,No,APM,RGG++,PAULGAGN,,11/2/2020
234,,,Range - freestanding - gas - Deluxe grade,0.00,Average,1.00,"5,100.00",0.00,"5,100.00",EA,,Replace,0.00,0.00,0.00,"5,100.00",0.00,0.00,None,408.00,5508,15.00,Percent,0.00,Yes,"5,508.00",Yes,No,APM,RGG+++,PAULGAGN,,11/2/2020
235,,,"Range - freestanding - gas - 36""",0.00,Average,1.00,"4,500.00",0.00,"4,500.00",EA,,Replace,0.00,0.00,0.00,"4,500.00",0.00,0.00,None,360.00,4860,15.00,Percent,0.00,Yes,"4,860.00",Yes,No,APM,RGG3,PAULGAGN,,11/2/2020
236,,,"Range - freestanding - gas - 36""",0.00,Average,1.00,"2,800.00",0.00,"2,800.00",EA,,Replace,0.00,0.00,0.00,"2,800.00",0.00,0.00,None,224.00,3024,15.00,Percent,0.00,Yes,"3,024.00",Yes,No,APM,RGG3-,PAULGAGN,,11/2/2020
237,,,"Range - freestanding - gas - 36"" - High grade",0.00,Average,1.00,"6,150.00",0.00,"6,150.00",EA,,Replace,0.00,0.00,0.00,"6,150.00",0.00,0.00,None,492.00,6642,15.00,Percent,0.00,Yes,"6,642.00",Yes,No,APM,RGG3+,PAULGAGN,,11/2/2020
238,,,"Range - freestanding - gas - 36"" - Premium grade",0.00,Average,1.00,"8,100.00",0.00,"8,100.00",EA,,Replace,0.00,0.00,0.00,"8,100.00",0.00,0.00,None,648.00,8748,15.00,Percent,0.00,Yes,"8,748.00",Yes,No,APM,RGG3++,PAULGAGN,,11/2/2020
239,,,Range - freestanding - dual,0.00,Average,1.00,"4,450.00",0.00,"4,450.00",EA,,Replace,0.00,0.00,0.00,"4,450.00",0.00,0.00,None,356.00,4806,14.00,Percent,0.00,Yes,"4,806.00",Yes,No,APM,RGL,PAULGAGN,,11/2/2020
240,,,Range - freestanding - dual - Standard grade,0.00,Average,1.00,"2,400.00",0.00,"2,400.00",EA,,Replace,0.00,0.00,0.00,"2,400.00",0.00,0.00,None,192.00,2592,14.00,Percent,0.00,Yes,"2,592.00",Yes,No,APM,RGL-,PAULGAGN,,11/2/2020
241,,,Range - freestanding - dual - High grade,0.00,Average,1.00,"6,200.00",0.00,"6,200.00",EA,,Replace,0.00,0.00,0.00,"6,200.00",0.00,0.00,None,496.00,6696,14.00,Percent,0.00,Yes,"6,696.00",Yes,No,APM,RGL+,PAULGAGN,,11/2/2020
242,,,Range - freestanding - dual - Premium grade,0.00,Average,1.00,"7,300.00",0.00,"7,300.00",EA,,Replace,0.00,0.00,0.00,"7,300.00",0.00,0.00,None,584.00,7884,14.00,Percent,0.00,Yes,"7,884.00",Yes,No,APM,RGL++,PAULGAGN,,11/2/2020
243,,,"Range - freestanding - dual - 36""",0.00,Average,1.00,"5,665.00",0.00,"5,665.00",EA,,Replace,0.00,0.00,0.00,"5,665.00",0.00,0.00,None,453.20,6118.2,15.00,Percent,0.00,Yes,"6,118.20",Yes,No,APM,RGL3,PAULGAGN,,11/2/2020
244,,,"Range - freestanding - dual - 36"" - Standard grade",0.00,Average,1.00,"3,140.00",0.00,"3,140.00",EA,,Replace,0.00,0.00,0.00,"3,140.00",0.00,0.00,None,251.20,3391.2,15.00,Percent,0.00,Yes,"3,391.20",Yes,No,APM,RGL3-,PAULGAGN,,11/2/2020
245,,,"Range - freestanding - dual - 36"" - High grade",0.00,Average,1.00,"8,155.00",0.00,"8,155.00",EA,,Replace,0.00,0.00,0.00,"8,155.00",0.00,0.00,None,652.40,8807.4,15.00,Percent,0.00,Yes,"8,807.40",Yes,No,APM,RGL3+,PAULGAGN,,11/2/2020
246,,,"Range - freestanding - dual - 36"" - Premium grade",0.00,Average,1.00,"9,850.00",0.00,"9,850.00",EA,,Replace,0.00,0.00,0.00,"9,850.00",0.00,0.00,None,788.00,10638,15.00,Percent,0.00,Yes,"10,638.00",Yes,No,APM,RGL3++,PAULGAGN,,11/2/2020
247,,,Restore and repair - APM - Enter price,0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,APM,RSTR,PAULGAGN,,11/2/2020
248,,,Washer / Washing machine - Front-loading,0.00,Average,1.00,928.00,0.00,928.00,EA,,Replace,0.00,0.00,0.00,928.00,0.00,0.00,None,74.24,1002.24,10.00,Percent,0.00,Yes,"1,002.24",Yes,No,APM,WASF,PAULGAGN,,11/2/2020
249,,,Washer / Washing machine - Front-loading - Standard grade,0.00,Average,1.00,719.00,0.00,719.00,EA,,Replace,0.00,0.00,0.00,719.00,0.00,0.00,None,57.52,776.52,10.00,Percent,0.00,Yes,776.52,Yes,No,APM,WASF-,PAULGAGN,,11/2/2020
250,,,Washer / Washing machine - Front-loading - High grade,0.00,Average,1.00,"1,199.00",0.00,"1,199.00",EA,,Replace,0.00,0.00,0.00,"1,199.00",0.00,0.00,None,95.92,1294.92,10.00,Percent,0.00,Yes,"1,294.92",Yes,No,APM,WASF+,PAULGAGN,,11/2/2020
251,,,Washer / Washing machine - Front-loading - Premium grade,0.00,Average,1.00,"1,599.00",0.00,"1,599.00",EA,,Replace,0.00,0.00,0.00,"1,599.00",0.00,0.00,None,127.92,1726.92,10.00,Percent,0.00,Yes,"1,726.92",Yes,No,APM,WASF++,PAULGAGN,,11/2/2020
252,,,Washer / Washing machine - Top-loading,0.00,Average,1.00,589.00,0.00,589.00,EA,,Replace,0.00,0.00,0.00,589.00,0.00,0.00,None,47.12,636.12,10.00,Percent,0.00,Yes,636.12,Yes,No,APM,WAST,PAULGAGN,,11/2/2020
253,,,Washer / Washing machine - Top-loading - Standard grade,0.00,Average,1.00,386.00,0.00,386.00,EA,,Replace,0.00,0.00,0.00,386.00,0.00,0.00,None,30.88,416.88,10.00,Percent,0.00,Yes,416.88,Yes,No,APM,WAST-,PAULGAGN,,11/2/2020
254,,,Washer / Washing machine - Top-loading - High grade,0.00,Average,1.00,815.00,0.00,815.00,EA,,Replace,0.00,0.00,0.00,815.00,0.00,0.00,None,65.20,880.2,10.00,Percent,0.00,Yes,880.20,Yes,No,APM,WAST+,PAULGAGN,,11/2/2020
255,,,Washer / Washing machine - Top-loading - Premium grade,0.00,Average,1.00,990.66,0.00,990.66,EA,,Replace,0.00,0.00,0.00,990.66,0.00,0.00,None,79.25,1069.91,10.00,Percent,0.00,Yes,"1,069.91",Yes,No,APM,WAST++,PAULGAGN,,11/2/2020
256,,,Washer / Washing machine - Top-loading - Deluxe grade,0.00,Average,1.00,"1,337.49",0.00,"1,337.49",EA,,Replace,0.00,0.00,0.00,"1,337.49",0.00,0.00,None,107.00,1444.49,10.00,Percent,0.00,Yes,"1,444.49",Yes,No,APM,WAST+++,PAULGAGN,,11/2/2020
257,,,Washer / Washing machine & dryer combo - Electric,0.00,Average,1.00,"1,500.00",0.00,"1,500.00",EA,,Replace,0.00,0.00,0.00,"1,500.00",0.00,0.00,None,120.00,1620,10.00,Percent,0.00,Yes,"1,620.00",Yes,No,APM,WDCE,PAULGAGN,,11/2/2020
258,,,Washer / Washing machine & dryer combo - Electric - Std gr,0.00,Average,1.00,950.00,0.00,950.00,EA,,Replace,0.00,0.00,0.00,950.00,0.00,0.00,None,76.00,1026,10.00,Percent,0.00,Yes,"1,026.00",Yes,No,APM,WDCE-,PAULGAGN,,11/2/2020
259,,,Washer / Washing machine & dryer combo - Electric - Hi grd,0.00,Average,1.00,"2,000.00",0.00,"2,000.00",EA,,Replace,0.00,0.00,0.00,"2,000.00",0.00,0.00,None,160.00,2160,10.00,Percent,0.00,Yes,"2,160.00",Yes,No,APM,WDCE+,PAULGAGN,,11/2/2020
260,,,Washer / Washing machine & dryer combo - Gas,0.00,Average,1.00,"1,800.00",0.00,"1,800.00",EA,,Replace,0.00,0.00,0.00,"1,800.00",0.00,0.00,None,144.00,1944,10.00,Percent,0.00,Yes,"1,944.00",Yes,No,APM,WDCG,PAULGAGN,,11/2/2020
261,,,Washer / Washing machine & dryer combo - Gas - Std grade,0.00,Average,1.00,"1,200.00",0.00,"1,200.00",EA,,Replace,0.00,0.00,0.00,"1,200.00",0.00,0.00,None,96.00,1296,10.00,Percent,0.00,Yes,"1,296.00",Yes,No,APM,WDCG-,PAULGAGN,,11/2/2020
262,,,Washer / Washing machine & dryer combo - Gas - High grade,0.00,Average,1.00,"2,700.00",0.00,"2,700.00",EA,,Replace,0.00,0.00,0.00,"2,700.00",0.00,0.00,None,216.00,2916,10.00,Percent,0.00,Yes,"2,916.00",Yes,No,APM,WDCG+,PAULGAGN,,11/2/2020
263,,,Washer & dryer pedestal,0.00,Average,1.00,230.00,0.00,230.00,EA,,Replace,0.00,0.00,0.00,230.00,0.00,0.00,None,18.40,248.4,10.00,Percent,0.00,Yes,248.40,Yes,No,APM,WSDP,PAULGAGN,,11/2/2020
264,,,Washer & dryer pedestal - Standard grade,0.00,Average,1.00,175.00,0.00,175.00,EA,,Replace,0.00,0.00,0.00,175.00,0.00,0.00,None,14.00,189,10.00,Percent,0.00,Yes,189.00,Yes,No,APM,WSDP-,PAULGAGN,,11/2/2020
265,,,Washer & dryer pedestal - High grade,0.00,Average,1.00,325.00,0.00,325.00,EA,,Replace,0.00,0.00,0.00,325.00,0.00,0.00,None,26.00,351,10.00,Percent,0.00,Yes,351.00,Yes,No,APM,WSDP+,PAULGAGN,,11/2/2020
266,,,"Compact Kitchenette - 30"" - Range-Refrigerator-Sink",0.00,Average,1.00,"1,666.78",0.00,"1,666.78",EA,,Remove and Replace,178.74,87.16,477.85,923.03,0.00,0.00,PLMMN-A,73.84,2088.74,13.00,Percent,0.00,Yes,"2,088.74",Yes,No,APP,CKIT<,PAULGAGN,,11/2/2020
268,,,Bottle/can box cooler - Commercial,0.00,Average,1.00,"1,584.15",0.00,"1,584.15",EA,,Remove and Replace,44.38,25.76,39.79,"1,474.22",0.00,0.00,LABLBRMN-A,117.94,2042.49,13.00,Percent,0.00,Yes,"2,042.49",Yes,No,APP,BBC,PAULGAGN,,11/2/2020
270,,,Appliances (Bid Item),0.00,Average,1.00,0.00,0.00,0.00,EA,,Replace,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0,0.00,Percent,0.00,Yes,0.00,Yes,No,APP,BIDITM,PAULGAGN,,11/2/2020
271,,,"Compact Kitchenette - 48"" - Range-Refrigerator-Sink",0.00,Average,1.00,"2,371.85",0.00,"2,371.85",EA,,Remove and Replace,193.04,93.82,522.11,"1,562.88",0.00,0.00,PLMMN-A,125.03,2996.26,13.00,Percent,0.00,Yes,"2,996.26",Yes,No,APP,CKIT,PAULGAGN,,11/2/2020
272,,,"Compact Kitchenette - 48"" - Range-Frig.-Sink-Wall Cabinets",0.00,Average,1.00,"3,428.75",0.00,"3,428.75",EA,,Remove and Replace,241.09,116.99,655.79,"2,414.88",0.00,0.00,PLMMN-A,193.19,4346.34,13.00,Percent,0.00,Yes,"4,346.34",Yes,No,APP,CKIT+,PAULGAGN,,11/2/2020
273,,,"Compact Kitchenette - 30"" - Range-Frig.-Sink-Wall Cabinets",0.00,Average,1.00,"2,346.89",0.00,"2,346.89",EA,,Remove and Replace,218.93,106.67,587.19,"1,434.10",0.00,0.00,PLMMN-A,114.73,2953.94,13.00,Percent,0.00,Yes,"2,953.94",Yes,No,APP,CKIT<+,PAULGAGN,,11/2/2020
274,,,"Compact Kitchenette - 60"" - Range-Refrigerator-Sink",0.00,Average,1.00,"2,983.50",0.00,"2,983.50",EA,,Remove and Replace,207.82,100.71,567.88,"2,107.09",0.00,0.00,PLMMN-A,168.57,3782.49,13.00,Percent,0.00,Yes,"3,782.49",Yes,No,APP,CKIT>,PAULGAGN,,11/2/2020
275,,,"Compact Kitchenette - 60"" - Range-Frig.-Sink-Wall Cabinets",0.00,Average,1.00,"4,352.54",0.00,"4,352.54",EA,,Remove and Replace,265.13,128.18,730.20,"3,229.03",0.00,0.00,PLMMN-A,258.32,5533.04,13.00,Percent,0.00,Yes,"5,533.04",Yes,No,APP,CKIT>+,PAULGAGN,,11/2/2020
276,,,Cooktop - electric,0.00,Average,1.00,682.59,0.00,682.59,EA,,Remove and Replace,64.07,29.67,139.85,449.00,0.00,0.00,ELEMN-A,35.92,862.21,13.00,Percent,0.00,Yes,862.21,Yes,No,APP,CT,PAULGAGN,,11/2/2020
278,,,Cooktop - electric - Standard grade,0.00,Average,1.00,593.58,0.00,593.58,EA,,Remove and Replace,64.07,29.67,139.85,359.99,0.00,0.00,ELEMN-A,28.80,746.86,13.00,Percent,0.00,Yes,746.86,Yes,No,APP,CT-,PAULGAGN,,11/2/2020
279,,,Cooktop - electric - High grade,0.00,Average,1.00,953.77,0.00,953.77,EA,,Remove and Replace,64.07,29.67,139.85,720.18,0.00,0.00,ELEMN-A,57.61,1213.66,13.00,Percent,0.00,Yes,"1,213.66",Yes,No,APP,CT+,PAULGAGN,,11/2/2020
280,,,Cooktop - electric - Premium grade,0.00,Average,1.00,"1,183.58",0.00,"1,183.58",EA,,Remove and Replace,64.07,29.67,139.85,949.99,0.00,0.00,ELEMN-A,76.00,1511.5,13.00,Percent,0.00,Yes,"1,511.50",Yes,No,APP,CT++,PAULGAGN,,11/2/2020
281,,,Cooktop - electric - Deluxe grade,0.00,Average,1.00,"1,897.69",0.00,"1,897.69",EA,,Remove and Replace,64.07,29.67,139.85,"1,664.10",0.00,0.00,ELEMN-A,133.13,2436.98,13.00,Percent,0.00,Yes,"2,436.98",Yes,No,APP,CT+++,PAULGAGN,,11/2/2020
282,,,Cooktop - gas,0.00,Average,1.00,862.05,0.00,862.05,EA,,Remove and Replace,58.99,29.50,143.57,629.99,0.00,0.00,PLMMN-A,50.40,1094.95,15.00,Percent,0.00,Yes,"1,094.95",Yes,No,APP,CTG,PAULGAGN,,11/2/2020
283,,,Cooktop - gas - Standard grade,0.00,Average,1.00,651.49,0.00,651.49,EA,,Remove and Replace,58.99,29.50,143.57,419.43,0.00,0.00,PLMMN-A,33.55,822.06,15.00,Percent,0.00,Yes,822.06,Yes,No,APP,CTG-,PAULGAGN,,11/2/2020
284,,,Cooktop - gas - High grade,0.00,Average,1.00,"1,031.06",0.00,"1,031.06",EA,,Remove and Replace,58.99,29.50,143.57,799.00,0.00,0.00,PLMMN-A,63.92,1313.98,15.00,Percent,0.00,Yes,"1,313.98",Yes,No,APP,CTG+,PAULGAGN,,11/2/2020
285,,,Cooktop - gas - Premium grade,0.00,Average,1.00,"1,281.06",0.00,"1,281.06",EA,,Remove and Replace,58.99,29.50,143.57,"1,049.00",0.00,0.00,PLMMN-A,83.92,1637.98,15.00,Percent,0.00,Yes,"1,637.98",Yes,No,APP,CTG++,PAULGAGN,,11/2/2020
286,,,Cooktop - gas - Deluxe grade,0.00,Average,1.00,"1,831.06",0.00,"1,831.06",EA,,Remove and Replace,58.99,29.50,143.57,"1,599.00",0.00,0.00,PLMMN-A,127.92,2350.78,15.00,Percent,0.00,Yes,"2,350.78",Yes,No,APP,CTG+++,PAULGAGN,,11/2/2020
287,,,Cooktop - mobile home,0.00,Average,1.00,438.08,0.00,438.08,EA,,Remove and Replace,64.07,29.67,139.85,204.49,0.00,0.00,ELEMN-A,16.36,545.34,13.00,Percent,0.00,Yes,545.34,Yes,No,APP,CTM,PAULGAGN,,11/2/2020
288,,,Cooktop - Detach & reset,0.00,Average,1.00,307.09,0.00,307.09,EA,,Replace,76.19,32.35,198.55,0.00,0.00,0.00,ELEMN-A,0.00,368.51,0.00,Percent,0.00,Yes,368.51,Yes,No,APP,CTRS,PAULGAGN,,11/2/2020
289,,,Dryer - Heavy commercial - 25-35 lb capacity,0.00,Average,1.00,"3,626.43",0.00,"3,626.43",EA,,Remove and Replace,87.14,43.95,205.05,"3,290.29",0.00,0.00,PLMMN-A,263.22,4667.57,13.00,Percent,0.00,Yes,"4,667.57",Yes,No,APP,DHC,PAULGAGN,,11/2/2020
290,,,Dryer - Heavy commercial - 40-50 lb capacity,0.00,Average,1.00,"4,074.67",0.00,"4,074.67",EA,,Remove and Replace,94.28,47.28,227.17,"3,705.94",0.00,0.00,PLMMN-A,296.48,5245.37,13.00,Percent,0.00,Yes,"5,245.37",Yes,No,APP,DHC>,PAULGAGN,,11/2/2020
291,,,Dryer - Heavy commercial - 60-75 lb capacity,0.00,Average,1.00,"4,408.21",0.00,"4,408.21",EA,,Remove and Replace,94.28,47.28,227.17,"4,039.48",0.00,0.00,PLMMN-A,323.16,5677.65,13.00,Percent,0.00,Yes,"5,677.65",Yes,No,APP,DHC>>,PAULGAGN,,11/2/2020
292,,,Dryer - Heavy commercial - 120 lb capacity,0.00,Average,1.00,"8,472.60",0.00,"8,472.60",EA,,Remove and Replace,118.14,59.73,275.13,"8,019.60",0.00,0.00,PLMMN-A,641.57,10937.01,13.00,Percent,0.00,Yes,"10,937.01",Yes,No,APP,DHC>>>,PAULGAGN,,11/2/2020
293,,,Dryer - Commercial - coin box,0.00,Average,1.00,220.65,0.00,220.65,EA,,Remove and Replace,63.97,33.03,77.66,45.99,0.00,0.00,EQCMN-A,3.68,269.21,13.00,Percent,0.00,Yes,269.21,Yes,No,APP,DHCCB,PAULGAGN,,11/2/2020
295,,,Dryer - Heavy commercial - Remove & reset - gas/electric,0.00,Average,1.00,405.71,0.00,405.71,EA,,Replace,88.94,41.42,275.35,0.00,0.00,0.00,PLMMN-A,0.00,486.85,0.00,Percent,0.00,Yes,486.85,Yes,No,APP,DHCRS,PAULGAGN,,11/2/2020
296,,,Dryer - Heavy commercial - stackable - 30-45 lb capacity,0.00,Average,1.00,"6,562.34",0.00,"6,562.34",EA,,Remove and Replace,130.00,65.25,311.84,"6,055.25",0.00,0.00,PLMMN-A,484.42,8456.12,13.00,Percent,0.00,Yes,"8,456.12",Yes,No,APP,DHCS,PAULGAGN,,11/2/2020
297,,,Dryer - Light commercial,0.00,Average,1.00,825.54,0.00,825.54,EA,,Remove and Replace,55.65,27.88,134.53,607.48,0.00,0.00,PLMMN-A,48.60,1048.98,13.00,Percent,0.00,Yes,"1,048.98",Yes,No,APP,DRYC,PAULGAGN,,11/2/2020
298,,,Dryer - Light commercial - Large,0.00,Average,1.00,"1,140.61",0.00,"1,140.61",EA,,Remove and Replace,74.92,36.85,194.19,834.65,0.00,0.00,PLMMN-A,66.77,1448.88,13.00,Percent,0.00,Yes,"1,448.88",Yes,No,APP,DRYC>,PAULGAGN,,11/2/2020
299,,,Dryer - Electric,0.00,Average,1.00,988.80,0.00,988.80,EA,,Remove and Replace,52.18,24.31,112.31,800.00,0.00,0.00,ELEMN-A,64.00,1263.36,10.00,Percent,0.00,Yes,"1,263.36",Yes,No,APP,DRYE,PAULGAGN,,11/2/2020
300,,,Dryer - Electric - Standard grade,0.00,Average,1.00,688.80,0.00,688.80,EA,,Remove and Replace,52.18,24.31,112.31,500.00,0.00,0.00,ELEMN-A,40.00,874.56,10.00,Percent,0.00,Yes,874.56,Yes,No,APP,DRYE-,PAULGAGN,,11/2/2020
301,,,Dryer - Electric - High grade,0.00,Average,1.00,"1,188.80",0.00,"1,188.80",EA,,Remove and Replace,52.18,24.31,112.31,"1,000.00",0.00,0.00,ELEMN-A,80.00,1522.56,10.00,Percent,0.00,Yes,"1,522.56",Yes,No,APP,DRYE+,PAULGAGN,,11/2/2020
302,,,Dryer - Electric - Premium grade,0.00,Average,1.00,"1,588.80",0.00,"1,588.80",EA,,Remove and Replace,52.18,24.31,112.31,"1,400.00",0.00,0.00,ELEMN-A,112.00,2040.96,10.00,Percent,0.00,Yes,"2,040.96",Yes,No,APP,DRYE++,PAULGAGN,,11/2/2020
303,,,Dryer - Electric - Deluxe grade,0.00,Average,1.00,"2,188.80",0.00,"2,188.80",EA,,Remove and Replace,52.18,24.31,112.31,"2,000.00",0.00,0.00,ELEMN-A,160.00,2818.56,10.00,Percent,0.00,Yes,"2,818.56",Yes,No,APP,DRYE+++,PAULGAGN,,11/2/2020
304,,,Dryer - Electric - Reset,0.00,Average,1.00,31.01,0.00,31.01,EA,,Replace,12.48,7.24,11.29,0.00,0.00,0.00,LABLBRMN-A,0.00,37.21,0.00,Percent,0.00,Yes,37.21,Yes,No,APP,DRYER,PAULGAGN,,11/2/2020
305,,,Dryer - Gas,0.00,Average,1.00,"1,153.78",0.00,"1,153.78",EA,,Remove and Replace,61.95,30.44,161.39,900.00,0.00,0.00,PLMMN-A,72.00,1470.94,10.00,Percent,0.00,Yes,"1,470.94",Yes,No,APP,DRYG,PAULGAGN,,11/2/2020
306,,,Dryer - Gas - Standard grade,0.00,Average,1.00,853.78,0.00,853.78,EA,,Remove and Replace,61.95,30.44,161.39,600.00,0.00,0.00,PLMMN-A,48.00,1082.14,10.00,Percent,0.00,Yes,"1,082.14",Yes,No,APP,DRYG-,PAULGAGN,,11/2/2020
307,,,Dryer - Gas - High grade,0.00,Average,1.00,"1,353.78",0.00,"1,353.78",EA,,Remove and Replace,61.95,30.44,161.39,"1,100.00",0.00,0.00,PLMMN-A,88.00,1730.14,10.00,Percent,0.00,Yes,"1,730.14",Yes,No,APP,DRYG+,PAULGAGN,,11/2/2020
308,,,Dryer - Gas - Premium grade,0.00,Average,1.00,"1,753.78",0.00,"1,753.78",EA,,Remove and Replace,61.95,30.44,161.39,"1,500.00",0.00,0.00,PLMMN-A,120.00,2248.54,10.00,Percent,0.00,Yes,"2,248.54",Yes,No,APP,DRYG++,PAULGAGN,,11/2/2020
309,,,Dryer - Gas - Deluxe grade,0.00,Average,1.00,"1,953.78",0.00,"1,953.78",EA,,Remove and Replace,61.95,30.44,161.39,"1,700.00",0.00,0.00,PLMMN-A,136.00,2507.74,10.00,Percent,0.00,Yes,"2,507.74",Yes,No,APP,DRYG+++,PAULGAGN,,11/2/2020
310,,,Dryer - Gas - Reset,0.00,Average,1.00,116.47,0.00,116.47,EA,,Replace,25.53,11.89,79.05,0.00,0.00,0.00,PLMMN-A,0.00,139.77,0.00,Percent,0.00,Yes,139.77,Yes,No,APP,DRYGR,PAULGAGN,,11/2/2020
311,,,Dryer - Remove & reset - gas,0.00,Average,1.00,232.96,0.00,232.96,EA,,Replace,51.07,23.78,158.11,0.00,0.00,0.00,PLMMN-A,0.00,279.56,0.00,Percent,0.00,Yes,279.56,Yes,No,APP,DRYGRS,PAULGAGN,,11/2/2020
312,,,Dryer - Remove & reset,0.00,Average,1.00,62.01,0.00,62.01,EA,,Replace,24.95,14.48,22.58,0.00,0.00,0.00,LABLBRMN-A,0.00,74.41,0.00,Percent,0.00,Yes,74.41,Yes,No,APP,DRYRS,PAULGAGN,,11/2/2020
313,,,Dryer - Light commercial - stackable,0.00,Average,1.00,"1,920.82",0.00,"1,920.82",EA,,Remove and Replace,97.61,47.82,256.89,"1,518.50",0.00,0.00,PLMMN-A,121.48,2450.76,13.00,Percent,0.00,Yes,"2,450.76",Yes,No,APP,DRYS,PAULGAGN,,11/2/2020
314,,,Dishwasher,0.00,Average,1.00,799.02,0.00,799.02,EA,,Remove and Replace,66.50,33.08,165.44,534.00,0.00,0.00,PLMMN-A,42.72,1010.1,9.00,Percent,0.00,Yes,"1,010.10",Yes,No,APP,DW,PAULGAGN,,11/2/2020
315,,,Dishwasher - Standard grade,0.00,Average,1.00,645.02,0.00,645.02,EA,,Remove and Replace,66.50,33.08,165.44,380.00,0.00,0.00,PLMMN-A,30.40,810.52,9.00,Percent,0.00,Yes,810.52,Yes,No,APP,DW-,PAULGAGN,,11/2/2020
316,,,Dishwasher - High grade,0.00,Average,1.00,"1,113.56",0.00,"1,113.56",EA,,Remove and Replace,66.50,33.08,165.44,848.54,0.00,0.00,PLMMN-A,67.88,1417.74,9.00,Percent,0.00,Yes,"1,417.74",Yes,No,APP,DW+,PAULGAGN,,11/2/2020
317,,,Dishwasher - Premium grade,0.00,Average,1.00,"1,373.02",0.00,"1,373.02",EA,,Remove and Replace,66.50,33.08,165.44,"1,108.00",0.00,0.00,PLMMN-A,88.64,1754,9.00,Percent,0.00,Yes,"1,754.00",Yes,No,APP,DW++,PAULGAGN,,11/2/2020
318,,,Dishwasher - Deluxe grade,0.00,Average,1.00,"2,059.02",0.00,"2,059.02",EA,,Remove and Replace,66.50,33.08,165.44,"1,794.00",0.00,0.00,PLMMN-A,143.52,2643.06,9.00,Percent,0.00,Yes,"2,643.06",Yes,No,APP,DW+++,PAULGAGN,,11/2/2020
319,,,Dishwasher - Reset,0.00,Average,1.00,197.70,0.00,197.70,EA,,Replace,43.34,20.18,134.17,0.00,0.00,0.01,PLMMN-A,0.00,237.24,0.00,Percent,0.00,Yes,237.24,Yes,No,APP,DWR,PAULGAGN,,11/2/2020
