#,Group Code,Group Description,Desc,Age,Condition,Qty,Item Amount,Reported Cost,Unit Cost,Unit,Coverage,Activity,Worker's Wage,Labor burden,Labor Overhead,Material,Equipment,Market Conditions,Labor Minimum,Sales Tax,RCV,Life,Depreciation Type,Depreciation Amount,Recoverable,ACV,Tax,Replace,Cat,Sel,Owner,Original Vendor,Date
322,,,"Built-in freezer - 36""",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,11.00,Percent,0.00,Yes,220.42,Yes,No,APP,FRBI,PAULGAGN,,11/2/2020
324,,,"Built-in freezer - 36"" - High grade",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,11.00,Percent,0.00,Yes,220.42,Yes,No,APP,FRBI+,PAULGAGN,,11/2/2020
325,,,"Built-in freezer - 36"" - Premium grade",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,11.00,Percent,0.00,Yes,220.42,Yes,No,APP,FRBI++,PAULGAGN,,11/2/2020
326,,,Freezer - Remove & reset,0.00,Average,1.00,82.68,0.00,82.68,EA,,Replace,33.27,19.31,30.10,0.00,0.00,0.00,LABLBRMN-A,0.00,99.22,0.00,Percent,0.00,Yes,99.22,Yes,No,APP,FRZRS,PAULGAGN,,11/2/2020
327,,,Garbage disposer,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,PLMMN-A,0.00,50.71,12.00,Percent,0.00,Yes,50.71,Yes,No,APP,GD,PAULGAGN,,11/2/2020
328,,,Garbage disposer - Standard grade,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,PLMMN-A,0.00,50.71,12.00,Percent,0.00,Yes,50.71,Yes,No,APP,GD-,PAULGAGN,,11/2/2020
329,,,Garbage disposer - High grade,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,PLMMN-A,0.00,50.71,12.00,Percent,0.00,Yes,50.71,Yes,No,APP,GD+,PAULGAGN,,11/2/2020
330,,,Garbage disposer - Premium grade,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,PLMMN-A,0.00,50.71,12.00,Percent,0.00,Yes,50.71,Yes,No,APP,GD++,PAULGAGN,,11/2/2020
331,,,Garbage disposer - Detach & reset,0.00,Average,1.00,271.04,0.00,271.04,EA,,Replace,59.41,27.67,183.94,0.00,0.00,0.02,PLMMN-A,0.00,325.24,0.00,Percent,0.00,Yes,325.24,Yes,No,APP,GDRS,PAULGAGN,,11/2/2020
332,,,Range hood,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD,PAULGAGN,,11/2/2020
333,,,Range hood - Standard grade,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD-,PAULGAGN,,11/2/2020
334,,,Range hood - High grade,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD+,PAULGAGN,,11/2/2020
335,,,Range hood - oversized,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD>,PAULGAGN,,11/2/2020
336,,,Range hood - oversized - Standard grade,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD>-,PAULGAGN,,11/2/2020
337,,,Range hood - oversized - High grade,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HD>+,PAULGAGN,,11/2/2020
338,,,Range hood - copper,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,ELEMN-A,0.00,50.71,14.00,Percent,0.00,Yes,50.71,Yes,No,APP,HDC,PAULGAGN,,11/2/2020
339,,,Range hood - copper - High grade,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,ELEMN-A,0.00,50.71,14.00,Percent,0.00,Yes,50.71,Yes,No,APP,HDC+,PAULGAGN,,11/2/2020
340,,,Range hood - copper - oversized,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,14.00,Percent,0.00,Yes,60.84,Yes,No,APP,HDC>,PAULGAGN,,11/2/2020
341,,,Range hood - copper - oversized - High grade,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,14.00,Percent,0.00,Yes,60.84,Yes,No,APP,HDC>+,PAULGAGN,,11/2/2020
342,,,Range hood - add on cost for ceiling mount/island hood,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,ELEMN-A,0.00,50.71,14.00,Percent,0.00,Yes,50.71,Yes,No,APP,HDI,PAULGAGN,,11/2/2020
343,,,Range hood - mobile home,0.00,Average,1.00,21.26,0.00,21.26,EA,,Remove,8.61,5.00,7.65,0.00,0.00,0.00,ELEMN-A,0.00,25.52,14.00,Percent,0.00,Yes,25.52,Yes,No,APP,HDM,PAULGAGN,,11/2/2020
344,,,Range hood - Detach & reset,0.00,Average,1.00,180.57,0.00,180.57,EA,,Replace,44.80,19.02,116.75,0.00,0.00,0.00,ELEMN-A,0.00,216.69,0.00,Percent,0.00,Yes,216.69,Yes,No,APP,HDRS,PAULGAGN,,11/2/2020
345,,,Range hood - stainless steel,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,ELEMN-A,0.00,50.71,14.00,Percent,0.00,Yes,50.71,Yes,No,APP,HDSS,PAULGAGN,,11/2/2020
346,,,Range hood - stainless steel - High grade,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,ELEMN-A,0.00,50.71,14.00,Percent,0.00,Yes,50.71,Yes,No,APP,HDSS+,PAULGAGN,,11/2/2020
347,,,Range hood - stainless steel - oversized,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,14.00,Percent,0.00,Yes,60.84,Yes,No,APP,HDSS>,PAULGAGN,,11/2/2020
348,,,Range hood - stainless steel - oversized - High grade,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,14.00,Percent,0.00,Yes,60.84,Yes,No,APP,HDSS>+,PAULGAGN,,11/2/2020
349,,,Ice machine with storage bin,0.00,Average,1.00,126.74,0.00,126.74,EA,,Remove,51.33,29.79,45.62,0.00,0.00,0.00,PLMMN-A,0.00,152.08,13.00,Percent,0.00,Yes,152.08,Yes,No,APP,ICE,PAULGAGN,,11/2/2020
350,,,Ice machine with storage bin - Detach & reset,0.00,Average,1.00,329.63,0.00,329.63,EA,,Replace,72.26,33.65,223.72,0.00,0.00,0.00,PLMMN-A,0.00,395.55,0.00,Percent,0.00,Yes,395.55,Yes,No,APP,ICERS,PAULGAGN,,11/2/2020
351,,,"Ice maker appliance, 15"" wide - built-in",0.00,Average,1.00,45.26,0.00,45.26,EA,,Remove,18.33,10.64,16.29,0.00,0.00,0.00,PLMMN-A,0.00,54.32,13.00,Percent,0.00,Yes,54.32,Yes,No,APP,IM,PAULGAGN,,11/2/2020
352,,,"Ice maker appliance, 15"" wide - built-in - High grade",0.00,Average,1.00,45.26,0.00,45.26,EA,,Remove,18.33,10.64,16.29,0.00,0.00,0.00,PLMMN-A,0.00,54.32,13.00,Percent,0.00,Yes,54.32,Yes,No,APP,IM+,PAULGAGN,,11/2/2020
353,,,Ice maker drain pump,0.00,Average,1.00,42.25,0.00,42.25,EA,,Remove,17.11,9.93,15.21,0.00,0.00,0.00,PLMMN-A,0.00,50.71,16.00,Percent,0.00,Yes,50.71,Yes,No,APP,IMDP,PAULGAGN,,11/2/2020
354,,,Ice maker - Detach & reset,0.00,Average,1.00,308.43,0.00,308.43,EA,,Replace,67.61,31.49,209.33,0.00,0.00,0.00,PLMMN-A,0.00,370.11,0.00,Percent,0.00,Yes,370.11,Yes,No,APP,IMRS,PAULGAGN,,11/2/2020
355,,,Kitchen Equipment - Commercial (per SF of kitchen),0.00,Average,1.00,255.02,0.00,255.02,SF,,Replace,26.06,11.75,75.99,141.22,0.00,0.00,PLMMN-A,11.30,319.58,15.00,Percent,0.00,Yes,319.58,Yes,No,APP,KITSF,PAULGAGN,,11/2/2020
356,,,Microwave oven - over range w/built-in hood,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,9.00,Percent,0.00,Yes,60.84,Yes,No,APP,MWS,PAULGAGN,,11/2/2020
357,,,Microwave oven - over range w/built-in hood - Standard grd,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,9.00,Percent,0.00,Yes,60.84,Yes,No,APP,MWS-,PAULGAGN,,11/2/2020
358,,,Microwave oven - over range w/built-in hood - High grade,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,9.00,Percent,0.00,Yes,60.84,Yes,No,APP,MWS+,PAULGAGN,,11/2/2020
359,,,Microwave oven - over range type - Detach & reset,0.00,Average,1.00,243.58,0.00,243.58,EA,,Replace,60.43,25.66,157.49,0.00,0.00,0.00,ELEMN-A,0.00,292.3,0.00,Percent,0.00,Yes,292.30,Yes,No,APP,MWSRS,PAULGAGN,,11/2/2020
360,,,Cooktop - electric - per specs from ind. material source,0.00,Average,1.00,39.00,0.00,39.00,EA,,Remove,15.79,9.17,14.04,0.00,0.00,0.00,ELEMN-A,0.00,46.8,13.00,Percent,0.00,Yes,46.80,Yes,No,APP,NAPCT,PAULGAGN,,11/2/2020
361,,,Cooktop - gas - per specs from independent material source,0.00,Average,1.00,43.70,0.00,43.70,EA,,Remove,17.70,10.27,15.73,0.00,0.00,0.00,PLMMN-A,0.00,52.44,15.00,Percent,0.00,Yes,52.44,Yes,No,APP,NAPCTG,PAULGAGN,,11/2/2020
362,,,Dishwasher - per specs from independent material source,0.00,Average,1.00,45.26,0.00,45.26,EA,,Remove,18.33,10.64,16.29,0.00,0.00,0.00,PLMMN-A,0.00,54.32,9.00,Percent,0.00,Yes,54.32,Yes,No,APP,NAPDW,PAULGAGN,,11/2/2020
363,,,Microwave oven w/built-in range hood- per ind. mat. source,0.00,Average,1.00,50.70,0.00,50.70,EA,,Remove,20.53,11.92,18.25,0.00,0.00,0.00,ELEMN-A,0.00,60.84,9.00,Percent,0.00,Yes,60.84,Yes,No,APP,NAPMW,PAULGAGN,,11/2/2020
364,,,Refrigerator - per specs from independent material source,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,NAPRF,PAULGAGN,,11/2/2020
365,,,Refrigerator - large - per specs from ind. material source,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,NAPRF>,PAULGAGN,,11/2/2020
366,,,Range - freestanding - electric - per ind. mat. source,0.00,Average,1.00,34.02,0.00,34.02,EA,,Remove,13.78,8.00,12.24,0.00,0.00,0.00,ELEMN-A,0.00,40.82,13.00,Percent,0.00,Yes,40.82,Yes,No,APP,NAPRG,PAULGAGN,,11/2/2020
367,,,Range - freestanding - gas - per ind. mat. source,0.00,Average,1.00,34.02,0.00,34.02,EA,,Remove,13.78,8.00,12.24,0.00,0.00,0.00,PLMMN-A,0.00,40.82,15.00,Percent,0.00,Yes,40.82,Yes,No,APP,NAPRGG,PAULGAGN,,11/2/2020
368,,,Range - freestanding - gas - large - per ind. mat. source,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,PLMMN-A,0.00,76.05,15.00,Percent,0.00,Yes,76.05,Yes,No,APP,NAPRGG>,PAULGAGN,,11/2/2020
369,,,Built-in oven,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBI,PAULGAGN,,11/2/2020
370,,,Built-in oven - Standard grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBI-,PAULGAGN,,11/2/2020
371,,,Built-in oven - High grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBI+,PAULGAGN,,11/2/2020
372,,,Built-in oven - Premium grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBI++,PAULGAGN,,11/2/2020
373,,,Built-in double oven,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBID,PAULGAGN,,11/2/2020
374,,,Built-in double oven - Standard grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBID-,PAULGAGN,,11/2/2020
375,,,Built-in double oven - High grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBID+,PAULGAGN,,11/2/2020
376,,,Built-in double oven - Premium grade,0.00,Average,1.00,46.08,0.00,46.08,EA,,Remove,18.66,10.83,16.59,0.00,0.00,0.00,ELEMN-A,0.00,55.3,15.00,Percent,0.00,Yes,55.30,Yes,No,APP,OVBID++,PAULGAGN,,11/2/2020
378,,,Refrigerator - top freezer - 14 to 18 cf,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RF14,PAULGAGN,,11/2/2020
380,,,Refrigerator - top freezer - 14 to 18 cf - High grade,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RF14+,PAULGAGN,,11/2/2020
382,,,Refrigerator - top freezer - 18 to 22 cf,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RF18,PAULGAGN,,11/2/2020
384,,,Refrigerator - top freezer - 18 to 22 cf - High grade,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RF18+,PAULGAGN,,11/2/2020
386,,,Refrigerator - top freezer - 22 to 24 cf,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RF22,PAULGAGN,,11/2/2020
388,,,Refrigerator - top freezer - 22 to 24 cf - High grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RF22+,PAULGAGN,,11/2/2020
390,,,Refrigerator - top freezer - 24 to 26 cf,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RF25,PAULGAGN,,11/2/2020
392,,,Refrigerator - top freezer - 24 to 26 cf - Premium grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RF25++,PAULGAGN,,11/2/2020
394,,,Refrigerator - bottom freezer - 18 to 22 cf,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RFB18,PAULGAGN,,11/2/2020
395,,,Refrigerator - bottom freezer - 18 to 22 cf - Standard grd,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RFB18-,PAULGAGN,,11/2/2020
396,,,Refrigerator - bottom freezer - 18 to 22 cf - High grade,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RFB18+,PAULGAGN,,11/2/2020
397,,,Refrigerator - bottom freezer - 18 to 22 cf -Premium grade,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,14.00,Percent,0.00,Yes,67.58,Yes,No,APP,RFB18++,PAULGAGN,,11/2/2020
398,,,Refrigerator - bottom freezer - 22 to 25 cf,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB22,PAULGAGN,,11/2/2020
399,,,Refrigerator - bottom freezer - 22 to 25 cf - Standard grd,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB22-,PAULGAGN,,11/2/2020
400,,,Refrigerator - bottom freezer - 22 to 25 cf - High grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB22+,PAULGAGN,,11/2/2020
401,,,Refrigerator - bottom freezer - 22 to 25 cf -Premium grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB22++,PAULGAGN,,11/2/2020
402,,,Refrigerator - bottom freezer - 25 to 30 cf,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB25,PAULGAGN,,11/2/2020
403,,,Refrigerator - bottom freezer - 25 to 30 cf - Standard grd,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB25-,PAULGAGN,,11/2/2020
404,,,Refrigerator - bottom freezer - 25 to 30 cf - High grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB25+,PAULGAGN,,11/2/2020
405,,,Refrigerator - bottom freezer - 25 to 30 cf -Premium grade,0.00,Average,1.00,63.37,0.00,63.37,EA,,Remove,25.66,14.90,22.81,0.00,0.00,0.00,LABLBRMN-A,0.00,76.05,14.00,Percent,0.00,Yes,76.05,Yes,No,APP,RFB25++,PAULGAGN,,11/2/2020
406,,,"Built-in refrigerator - 36""",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,13.00,Percent,0.00,Yes,220.42,Yes,No,APP,RFBI,PAULGAGN,,11/2/2020
407,,,"Built-in refrigerator - 36"" - High grade",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,13.00,Percent,0.00,Yes,220.42,Yes,No,APP,RFBI+,PAULGAGN,,11/2/2020
408,,,"Built-in refrigerator - 36"" - Premium grade",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,13.00,Percent,0.00,Yes,220.42,Yes,No,APP,RFBI++,PAULGAGN,,11/2/2020
409,,,"Built-in refrigerator - 36"" - Deluxe grade",0.00,Average,1.00,183.68,0.00,183.68,EA,,Remove,74.39,43.18,66.11,0.00,0.00,0.00,FNCMN-A,0.00,220.42,13.00,Percent,0.00,Yes,220.42,Yes,No,APP,RFBI+++,PAULGAGN,,11/2/2020
410,,,"Built-in refrigerator - 42""",0.00,Average,1.00,204.42,0.00,204.42,EA,,Remove,82.79,48.05,73.58,0.00,0.00,0.00,FNCMN-A,0.00,245.3,13.00,Percent,0.00,Yes,245.30,Yes,No,APP,RFBI>,PAULGAGN,,11/2/2020
411,,,"Built-in refrigerator - 42"" - High grade",0.00,Average,1.00,204.42,0.00,204.42,EA,,Remove,82.79,48.05,73.58,0.00,0.00,0.00,FNCMN-A,0.00,245.3,13.00,Percent,0.00,Yes,245.30,Yes,No,APP,RFBI>+,PAULGAGN,,11/2/2020
412,,,"Built-in refrigerator - 42"" - Premium grade",0.00,Average,1.00,204.42,0.00,204.42,EA,,Remove,82.79,48.05,73.58,0.00,0.00,0.00,FNCMN-A,0.00,245.3,13.00,Percent,0.00,Yes,245.30,Yes,No,APP,RFBI>++,PAULGAGN,,11/2/2020
413,,,"Built-in refrigerator - 42"" - Deluxe grade",0.00,Average,1.00,204.42,0.00,204.42,EA,,Remove,82.79,48.05,73.58,0.00,0.00,0.00,FNCMN-A,0.00,245.3,13.00,Percent,0.00,Yes,245.30,Yes,No,APP,RFBI>DX,PAULGAGN,,11/2/2020
414,,,Built-in freezer/refrigerator - Remove & reset,0.00,Average,1.00,"1,052.39",0.00,"1,052.39",EA,,Replace,327.78,181.43,543.18,0.00,0.00,0.00,FNCMN-A,0.00,1262.87,0.00,Percent,0.00,Yes,"1,262.87",Yes,No,APP,RFBIRS,PAULGAGN,,11/2/2020
415,,,"Built-in refrigerator - 48""",0.00,Average,1.00,216.27,0.00,216.27,EA,,Remove,87.59,50.84,77.84,0.00,0.00,0.00,FNCMN-A,0.00,259.53,13.00,Percent,0.00,Yes,259.53,Yes,No,APP,RFBIX,PAULGAGN,,11/2/2020
416,,,"Built-in refrigerator - 48"" - High grade",0.00,Average,1.00,216.27,0.00,216.27,EA,,Remove,87.59,50.84,77.84,0.00,0.00,0.00,FNCMN-A,0.00,259.53,13.00,Percent,0.00,Yes,259.53,Yes,No,APP,RFBIX+,PAULGAGN,,11/2/2020
417,,,"Built-in refrigerator - 48"" - Premium grade",0.00,Average,1.00,216.27,0.00,216.27,EA,,Remove,87.59,50.84,77.84,0.00,0.00,0.00,FNCMN-A,0.00,259.53,13.00,Percent,0.00,Yes,259.53,Yes,No,APP,RFBIX++,PAULGAGN,,11/2/2020
418,,,"Built-in refrigerator - 48"" - Deluxe grade",0.00,Average,1.00,216.27,0.00,216.27,EA,,Remove,87.59,50.84,77.84,0.00,0.00,0.00,FNCMN-A,0.00,259.53,13.00,Percent,0.00,Yes,259.53,Yes,No,APP,RFBIXDX,PAULGAGN,,11/2/2020
419,,,Built-in freezer/refrigerator - Large - Remove & reset,0.00,Average,1.00,"1,227.78",0.00,"1,227.78",EA,,Replace,382.41,211.67,633.70,0.00,0.00,0.00,FNCMN-A,0.00,1473.34,0.00,Percent,0.00,Yes,"1,473.34",Yes,No,APP,RFBIXRS,PAULGAGN,,11/2/2020
420,,,Refrigerated drawer appliance - under-counter - built-in,0.00,Average,1.00,40.49,0.00,40.49,EA,,Remove,16.40,9.52,14.57,0.00,0.00,0.00,ELEMN-A,0.00,48.59,9.00,Percent,0.00,Yes,48.59,Yes,No,APP,RFD,PAULGAGN,,11/2/2020
421,,,Refrigerated drawers - built-in - Remove & reset,0.00,Average,1.00,208.83,0.00,208.83,EA,,Replace,51.81,22.00,135.02,0.00,0.00,0.00,ELEMN-A,0.00,250.59,0.00,Percent,0.00,Yes,250.59,Yes,No,APP,RFDRS,PAULGAGN,,11/2/2020
422,,,Refrigerator - mobile home,0.00,Average,1.00,56.32,0.00,56.32,EA,,Remove,22.81,13.24,20.27,0.00,0.00,0.00,LABLBRMN-A,0.00,67.58,13.00,Percent,0.00,Yes,67.58,Yes,No,APP,RFM,PAULGAGN,,11/2/2020
423,,,Refrigerator - compact (under counter),0.00,Average,1.00,28.17,0.00,28.17,EA,,Remove,11.41,6.62,10.14,0.00,0.00,0.00,LABLBRMN-A,0.00,33.81,14.00,Percent,0.00,Yes,33.81,Yes,No,APP,RFMI,PAULGAGN,,11/2/2020
424,,,Refrigerator - compact (under counter) - Standard grade,0.00,Average,1.00,28.17,0.00,28.17,EA,,Remove,11.41,6.62,10.14,0.00,0.00,0.00,LABLBRMN-A,0.00,33.81,14.00,Percent,0.00,Yes,33.81,Yes,No,APP,RFMI-,PAULGAGN,,11/2/2020
425,,,Refrigerator - compact (under counter) - High grade,0.00,Average,1.00,28.17,0.00,28.17,EA,,Remove,11.41,6.62,10.14,0.00,0.00,0.00,LABLBRMN-A,0.00,33.81,14.00,Percent,0.00,Yes,33.81,Yes,No,APP,RFMI+,PAULGAGN,,11/2/2020
426,,,Refrigerator - compact (under counter) - Premium grade,0.00,Average,1.00,28.17,0.00,28.17,EA,,Remove,11.41,6.62,10.14,0.00,0.00,0.00,LABLBRMN-A,0.00,33.81,14.00,Percent,0.00,Yes,33.81,Yes,No,APP,RFMI++,PAULGAGN,,11/2/2020
